pc,kappa_0.0109158,kappa_0.109158,kappa_1.09158,kappa_10.9158,kappa_109.158
1.340000000000000000e+02,1.171856945219848095e-01,1.262772197851854683e-01,1.999276134114988945e-01,4.612121472805912892e-01,6.886336093177162221e-01
1.350000000000000000e+02,1.182113464273318176e-01,1.273659495480175818e-01,2.014409114294866965e-01,4.631811651115042006e-01,6.900233283238224047e-01
1.360000000000000000e+02,1.193046864148235991e-01,1.285262524484028224e-01,2.030506471899131138e-01,4.652646821615978312e-01,6.914903527577560549e-01
1.370000000000000000e+02,1.204617920191417280e-01,1.297539735332620958e-01,2.047511495831163264e-01,4.674557937460221968e-01,6.930299944194999728e-01
1.380000000000000000e+02,1.215676266275496908e-01,1.309271741718917581e-01,2.063748207974818172e-01,4.695432290886417115e-01,6.944953030373828273e-01
1.390000000000000000e+02,1.225966103965642345e-01,1.320185876135720471e-01,2.078825264795206851e-01,4.714717733215209039e-01,6.958459876099454267e-01
1.400000000000000000e+02,1.236370542431727421e-01,1.331219971388901691e-01,2.094050724917641548e-01,4.734132234419773932e-01,6.972038041506404271e-01
1.410000000000000000e+02,1.245776296026513408e-01,1.341192849437319035e-01,2.107789150431576830e-01,4.751571398485340825e-01,6.984209976102052631e-01
1.420000000000000000e+02,1.256055911246445334e-01,1.352089867668710144e-01,2.122774569761459174e-01,4.770503239554755304e-01,6.997395738960364708e-01
1.430000000000000000e+02,1.268197046721703247e-01,1.364956153938787498e-01,2.140424363861623547e-01,4.792651351737596821e-01,7.012775451543911132e-01
1.440000000000000000e+02,1.280861405607705283e-01,1.378374579404378908e-01,2.158806480202710154e-01,4.815633196144798456e-01,7.028707972562040496e-01
1.450000000000000000e+02,1.291982465120556922e-01,1.390157253210527188e-01,2.174941737147959020e-01,4.835785587494215165e-01,7.042672694674709799e-01
1.460000000000000000e+02,1.302015100232934430e-01,1.400783518396870875e-01,2.189458789651607395e-01,4.853800593344620440e-01,7.055120936733411119e-01
1.470000000000000000e+02,1.312128735476248698e-01,1.411494169746183303e-01,2.204076098260923655e-01,4.871889872509947983e-01,7.067605307743871634e-01
1.480000000000000000e+02,1.323297042126700684e-01,1.423320149808803281e-01,2.220198473077085732e-01,4.891785014011836852e-01,7.081318877146294266e-01
1.490000000000000000e+02,1.334116090756056472e-01,1.434774309033781947e-01,2.235792697775456639e-01,4.910958258453980152e-01,7.094513747765974765e-01
1.500000000000000000e+02,1.343802764049406573e-01,1.445027534299298533e-01,2.249729773973191960e-01,4.928021406378653713e-01,7.106234732061791348e-01
1.510000000000000000e+02,1.354915154501578067e-01,1.456785022424482712e-01,2.265660356637915485e-01,4.947359157967633481e-01,7.119468954949788042e-01
1.520000000000000000e+02,1.365710539357785636e-01,1.468205453276420769e-01,2.281116862973409098e-01,4.966065560804654444e-01,7.132254597244053196e-01
1.530000000000000000e+02,1.375151018734687147e-01,1.478189963763702208e-01,2.294602984192398165e-01,4.982301157189568674e-01,7.143326181133373698e-01
1.540000000000000000e+02,1.385956897356693529e-01,1.489617751614359387e-01,2.310030080042949352e-01,5.000846569129254737e-01,7.155965028891160262e-01
1.550000000000000000e+02,1.397224795975171574e-01,1.501531429293084807e-01,2.326084599095717131e-01,5.020056249957575156e-01,7.169030350075812352e-01
1.560000000000000000e+02,1.407572539482642993e-01,1.512468500502286151e-01,2.340784269181721278e-01,5.037523601703546294e-01,7.180875573662918177e-01
1.570000000000000000e+02,1.418591889508017123e-01,1.524112797494776572e-01,2.356407093420913035e-01,5.056003200391534502e-01,7.193382860535659784e-01
1.580000000000000000e+02,1.428074919513493968e-01,1.534133304804852771e-01,2.369847797696794933e-01,5.071890782325146896e-01,7.204132702926505649e-01
1.590000000000000000e+02,1.438690995228134040e-01,1.545348428437520183e-01,2.384863395825230215e-01,5.089555720899602287e-01,7.216061047702027054e-01
1.600000000000000000e+02,1.450096844360074799e-01,1.557396433693724325e-01,2.400979027583651781e-01,5.108468770335492515e-01,7.228819066768822355e-01
1.610000000000000000e+02,1.460628022646572599e-01,1.568518799045217904e-01,2.415838684187934238e-01,5.125853734559214780e-01,7.240530928221663443e-01
1.620000000000000000e+02,1.471866646363335362e-01,1.580387077220207492e-01,2.431682031761580320e-01,5.144350693380058681e-01,7.252980898442821234e-01
1.630000000000000000e+02,1.482327269798437985e-01,1.591431205599483922e-01,2.446398821925337419e-01,5.161453188937789038e-01,7.264469939931961218e-01
1.640000000000000000e+02,1.491477389353342842e-01,1.601088918965497820e-01,2.459239312862211424e-01,5.176289374173697055e-01,7.274412474143505669e-01
1.650000000000000000e+02,1.501550021623062059e-01,1.611716014425457755e-01,2.473324643373185361e-01,5.192434442481175250e-01,7.285196214588602892e-01
