panel,series,sweep_name,sweep_value,realization,sigma2_noise,sigma_noise,lambda,kappa,beta_hat_1,beta_hat_2,E_gen,R2_gen,z,E_acc_over_S,R2_acc
fixed_lambda,cloud,sigma2,0.01,cloud,0.01,0.1,0.05,0.05179536610433671,1.0124713332593926,0.21583219607199772,0.01520133478009489,0.9876099643164928,-0.14539576606564508,0.028944992398880782,0.9788600712101843
fixed_lambda,cloud,sigma2,0.01,cloud,0.01,0.1,0.05,0.05179536610433671,1.0173917828484025,0.17305266450375356,0.01592326797444427,0.9870215437489247,-0.13525485029736506,0.02446411032305636,0.9817061254710374
fixed_lambda,cloud,sigma2,0.01,cloud,0.01,0.1,0.05,0.05179536610433671,1.0030206757687394,0.17027662925807865,0.018610369825791617,0.9848313881931766,-0.14741150710425244,0.029893986844056742,0.978269847573253
fixed_lambda,cloud,sigma2,0.01,cloud,0.01,0.1,0.05,0.05179536610433671,0.9913768073050147,0.18321468980964295,0.020514539023632254,0.9832793715676647,-0.15972866654826745,0.03613488169686897,0.9744867530827124
fixed_lambda,cloud,sigma2,0.01,cloud,0.01,0.1,0.05,0.05179536610433671,0.9734389956413072,0.16278906471293209,0.02551266764281306,0.9792055850983674,-0.1721169084870292,0.04322241691163372,0.9703757698128677
fixed_lambda,cloud,sigma2,0.01,cloud,0.01,0.1,0.05,0.05179536610433671,1.0012422399949417,0.19454136451535436,0.018050797906718128,0.9852874741978008,-0.15269847134139314,0.032478308212922045,0.9766831768500017
fixed_lambda,cloud,sigma2,0.01,cloud,0.01,0.1,0.05,0.05179536610433671,0.9850350103003056,0.16011691215724255,0.02281636644682505,0.9814032386935977,-0.1614017902891135,0.03704322875057311,0.973949462091469
fixed_lambda,cloud,sigma2,0.01,cloud,0.01,0.1,0.05,0.05179536610433671,1.0032737746952276,0.17959316469569314,0.018207266289750144,0.9851599427094709,-0.14874971477077392,0.030534987207993945,0.9778735223556134
fixed_lambda,cloud,sigma2,0.01,cloud,0.01,0.1,0.05,0.05179536610433671,0.9957238697414288,0.21331739600334304,0.018501179207034573,0.9849203853557466,-0.1596351704557547,0.03608456083366986,0.9745166123535621
fixed_lambda,cloud,sigma2,0.01,cloud,0.01,0.1,0.05,0.05179536610433671,0.9841216621408195,0.2098295395257617,0.02117779055597052,0.9827387802135704,-0.16932910657670863,0.041553273991505026,0.9713276536659337
fixed_lambda,cloud,sigma2,0.01,cloud,0.01,0.1,0.05,0.05179536610433671,0.9930568876050032,0.19525403868805785,0.01970858486190983,0.9839362744625398,-0.15992384641094004,0.03624007930323269,0.9744243633491301
fixed_lambda,cloud,sigma2,0.01,cloud,0.01,0.1,0.05,0.05179536610433671,1.0029577756293189,0.15922290450539678,0.01905167960929439,0.9844716932029551,-0.14540910278147479,0.028951206318302197,0.9788561928282865
fixed_lambda,cloud,sigma2,0.01,cloud,0.01,0.1,0.05,0.05179536610433671,1.0274229373431347,0.18987166668667266,0.01373615334860658,0.988804178540544,-0.12917599040717487,0.0220040595183541,0.9833135635023255
fixed_lambda,cloud,sigma2,0.01,cloud,0.01,0.1,0.05,0.05179536610433671,1.0047114220887,0.2326496953232656,0.016047164152908446,0.9869205606382685,-0.15348073620771518,0.03287260008578761,0.9764436636131377
fixed_lambda,cloud,sigma2,0.01,cloud,0.01,0.1,0.05,0.05179536610433671,1.0102600669392978,0.19204308880354576,0.01644223688624321,0.9865985517269189,-0.14449162358078493,0.02852573279670759,0.9791221707149887
fixed_lambda,cloud,sigma2,0.01,cloud,0.01,0.1,0.05,0.05179536610433671,1.0288254385100566,0.1440861576170097,0.015303770839874595,0.9875264725406515,-0.1192473280437395,0.01833113579116012,0.9857800747544287
fixed_lambda,cloud,sigma2,0.01,cloud,0.01,0.1,0.05,0.05179536610433671,1.008114870489158,0.17135266552470227,0.01760700785723652,0.9856491907594453,-0.1431184643076634,0.027896503036303918,0.9795171051742161
