feature,feature_dim,n,sigma,noise_signal_ratio,retained_signal_fraction,residual_signal_fraction,de_alpha_cv,de_lambda,de_kappa,de_effective_noise_variance,de_df2,de_variance_scale,de_gen_error,de_gen_error_normalized,de_r2_gen,de_slope_gen,de_acc_error,de_acc_error_normalized,de_r2_acc,de_slope_acc,de_acc_numerator,de_acc_denominator,de_mean_feature_norm_sq,de_mean_pixel_gradient_norm_sq
top_pc_100,100,1000,26.03517478446803,0.1,0.995170448343696,0.004829551656304055,251.18864315095823,0.25118864315095824,0.27296754419635894,710.5664917968555,65.13694700854482,0.7720143770182228,94.18405096042295,0.01389493024134652,0.9861050697586535,1.0093765080885582,0.009769708308040978,1.4413206273700859e-06,0.9999985552123751,0.9987994498646995,450.4854144327803,451.0268948323955,409.5969429166658,451.0268948323955
top_pc_150,150,1000,26.03517478446803,0.1,0.9985813530506669,0.0014186469493331585,281.8382931264455,0.2818382931264455,0.3139740911349536,687.4463453000739,74.33098921867271,0.763809924863273,85.97959880547319,0.012684531142996036,0.9873154688570039,1.0114066007639475,0.9548665928680518,0.00014087103455837834,0.9998557245037997,0.9881310895799834,480.92376730404055,486.7003704017275,418.53380320776006,486.7003704017275
top_pc_200,200,1000,26.03517478446803,0.1,0.9994066868813765,0.0005933131186234951,316.2277660168379,0.3162277660168379,0.3577279965772059,681.8519823043092,75.91503193588079,0.7657102203603207,87.87989430252085,0.012964880874189033,0.987035119125811,1.0136305252679674,5.3127402164805195,0.0007837861500501075,0.9991704135643067,0.9720038190095487,482.5793739480007,496.4788867185099,410.65511174345033,496.4788867185099
top_pc_300,300,1000,26.03517478446803,0.1,0.9997814542592695,0.00021854574073051805,354.81338923357606,0.3548133892335761,0.4091002908127949,679.311695364779,75.34282715453044,0.7693764232715796,91.54609721377975,0.013505754123779561,0.9864942458762205,1.0162598279453003,22.806841021982418,0.00336468289263848,0.9962081795679087,0.9419941132932313,477.5501159107923,506.9565819697821,399.09079003813684,506.9565819697821
top_pc_500,500,1000,26.03517478446803,0.1,0.9999204621686296,7.95378313704058e-05,354.81338923357606,0.3548133892335761,0.42045738161414337,678.3694575995172,77.26846265179203,0.7719149373537769,94.0846112959771,0.013880259952835797,0.9861197400471642,1.016561805072583,95.1201337889281,0.014033030115683706,0.9819420483512598,0.8815389088532285,477.33469980454737,541.4788785959544,396.70631574137957,541.4788785959544
top_pc_700,700,1000,26.03517478446803,0.1,0.9999594019149393,4.059808506073792e-05,354.81338923357606,0.3548133892335761,0.42704204824894926,678.1055121901403,77.4801333014968,0.772742835287392,94.91250922959205,0.014002399358788602,0.9859976006412114,1.0168449849240215,153.5352430981657,0.022650984648490552,0.968612059921305,0.8494975593271307,476.65021788720395,561.0966301830798,395.24112631423264,561.0966301830798
top_pc_1000,1000,1000,26.03517478446803,0.1,0.9999801851928315,1.9814807168457426e-05,354.81338923357606,0.3548133892335761,0.43308512790329,677.9646368298376,77.28448534336975,0.7732029890908781,95.37266303307818,0.014070285640324918,0.9859297143596751,1.0171530394513402,213.8143327396704,0.031543931352731786,0.9533602652407949,0.822393887062602,475.8158482134001,578.5741549136542,393.88794328862036,578.5741549136542
top_pc_1500,1500,1000,26.03517478446803,0.1,0.9999915571772584,8.442822741638577e-06,354.81338923357606,0.3548133892335761,0.43870892676057655,677.887554070718,76.86784343689153,0.7734428495696395,95.61252351183951,0.014105672147764965,0.9858943278522351,1.0174692005338812,273.3286225384185,0.040324047483693025,0.9368661333910673,0.7991915154091017,474.92879344783097,594.2615559484732,392.63639083501187,594.2615559484732
top_pc_2000,2000,1000,26.03517478446803,0.1,0.9999954391229595,4.560877040484501e-06,354.81338923357606,0.3548133892335761,0.4418940419497966,677.8612410655145,76.56075285154242,0.7735207638303772,95.69043777257723,0.01411716680324768,0.9858828331967523,1.0176571987859089,307.8325011868838,0.04541438902228083,0.9266565081817074,0.7868934796345245,474.3918107912623,602.8666179971339,391.9326977900318,602.8666179971339
top_pc_3000,3000,1000,26.03517478446803,0.1,0.9999983955359198,1.6044640801641037e-06,354.81338923357606,0.3548133892335761,0.44526507959070877,677.8412016019059,76.19537816861171,0.7735699867330986,95.73966067529884,0.014124428635719515,0.9858755713642805,1.0178612157222249,344.59015606559194,0.050837229144009725,0.9152564511073892,0.7745288729260225,473.8093798258899,611.7388213507501,391.192688919002,611.7388213507501
