pc,kappa_0.0735436,kappa_0.735436,kappa_7.35436,kappa_73.5436,kappa_735.436
1.900000000000000000e+01,1.073524330305082597e-02,1.192377244671568789e-02,2.339982299398812859e-02,1.177667920105113508e-01,3.774284321468375225e-01
2.000000000000000000e+01,1.140973516677545874e-02,1.266876253564836602e-02,2.478623579472819666e-02,1.226378116776387084e-01,3.841155322000915362e-01
2.100000000000000000e+01,1.214977249040155236e-02,1.348579657708571557e-02,2.630074891213474847e-02,1.278524451837441955e-01,3.911270940995142942e-01
2.200000000000000000e+01,1.292168741898543083e-02,1.433757379673426292e-02,2.787207064955702501e-02,1.331321167155477547e-01,3.980538358512470953e-01
2.300000000000000000e+01,1.357414717541380322e-02,1.505730175007547432e-02,2.919585675986916679e-02,1.375144113569993221e-01,4.037195598140169706e-01
2.400000000000000000e+01,1.450878438567050795e-02,1.608803036070186390e-02,3.108717746481111377e-02,1.437022518057232690e-01,4.116285341978199175e-01
2.500000000000000000e+01,1.522747144465453305e-02,1.688018849203765451e-02,3.253380729337287947e-02,1.483253221052437676e-01,4.174062275962640012e-01
2.600000000000000000e+01,1.602996780807304858e-02,1.776416783694552068e-02,3.413898386897681186e-02,1.533160632463533013e-01,4.234855667083488595e-01
2.700000000000000000e+01,1.677155312373577317e-02,1.858044798872695441e-02,3.561140628648754025e-02,1.577515900138476423e-01,4.287358610059158193e-01
2.800000000000000000e+01,1.749871372473986789e-02,1.938066899334054891e-02,3.705192517009692904e-02,1.620497218218277247e-01,4.337804440083819491e-01
2.900000000000000000e+01,1.890242059497598479e-02,2.092480243699090109e-02,3.982179622984535761e-02,1.701793773270194043e-01,4.431849782628977108e-01
3.000000000000000000e+01,1.969977353074743587e-02,2.180171811981570021e-02,4.139153491938541568e-02,1.747424350150178773e-01,4.484196534155072689e-01
3.100000000000000000e+01,2.047231542930795165e-02,2.265085634455087787e-02,4.290372892570882418e-02,1.790356720246698841e-01,4.532464357090435492e-01
3.200000000000000000e+01,2.197321307616282096e-02,2.430010581480568366e-02,4.583351975829810798e-02,1.872605537807149056e-01,4.624064264558599979e-01
3.300000000000000000e+01,2.269029146060341090e-02,2.508751905893535916e-02,4.722377099882458379e-02,1.910579564755928439e-01,4.665409012370189679e-01
3.400000000000000000e+01,2.362667409823823381e-02,2.611522044098217241e-02,4.903005272754303728e-02,1.958939196906771263e-01,4.717215638903625163e-01
3.500000000000000000e+01,2.452782849845161137e-02,2.710377966916751799e-02,5.076012256399662498e-02,2.004403073620950326e-01,4.765204069168194057e-01
3.600000000000000000e+01,2.550798597012024146e-02,2.817892484223177493e-02,5.264049318856699189e-02,2.053676676331515627e-01,4.817097791171716659e-01
3.700000000000000000e+01,2.623124872285818865e-02,2.897171194864251245e-02,5.401831889080864479e-02,2.088818036336613782e-01,4.853338469566739199e-01
3.800000000000000000e+01,2.709046268404063929e-02,2.991308478863805020e-02,5.564776785075090104e-02,2.129671055177212169e-01,4.894923308510502613e-01
3.900000000000000000e+01,2.813244396101953135e-02,3.105440872904274840e-02,5.761888082730432653e-02,2.178626047118468467e-01,4.944402565492542201e-01
4.000000000000000000e+01,2.924526359026440731e-02,3.227285459446529309e-02,5.971608858878344611e-02,2.229984718085918083e-01,4.995769704468398520e-01
4.100000000000000000e+01,3.049277435676832695e-02,3.363823234238718513e-02,6.205803167878790050e-02,2.286518258600915565e-01,5.051717639537970372e-01
4.200000000000000000e+01,3.130244290265159907e-02,3.452360535746331477e-02,6.356483238146787285e-02,2.321752951500712647e-01,5.085796304643552812e-01
4.300000000000000000e+01,3.218890717260198403e-02,3.549234121757462862e-02,6.520447296117282132e-02,2.359259896382319976e-01,5.121514594406054721e-01
