pc,training_variance
3.780000000000000000e+02,1.697826734654405456e+01
3.790000000000000000e+02,1.696759247960822137e+01
3.800000000000000000e+02,1.692618583522279252e+01
3.810000000000000000e+02,1.685534773037841560e+01
3.820000000000000000e+02,1.677072356146193144e+01
3.830000000000000000e+02,1.675325724607762723e+01
3.840000000000000000e+02,1.672845451119755111e+01
3.850000000000000000e+02,1.665786655807936256e+01
3.860000000000000000e+02,1.661746989522075424e+01
3.870000000000000000e+02,1.659399889775896497e+01
3.880000000000000000e+02,1.658590322082066137e+01
3.890000000000000000e+02,1.650815921353603599e+01
3.900000000000000000e+02,1.643860995640885392e+01
3.910000000000000000e+02,1.642675970090366278e+01
3.920000000000000000e+02,1.638101528924907768e+01
3.930000000000000000e+02,1.635975464403511737e+01
3.940000000000000000e+02,1.627989181665233076e+01
3.950000000000000000e+02,1.625651520041507681e+01
3.960000000000000000e+02,1.624353558113479679e+01
3.970000000000000000e+02,1.618131903417704365e+01
3.980000000000000000e+02,1.616610422615214304e+01
3.990000000000000000e+02,1.614426374481951854e+01
4.000000000000000000e+02,1.607575819831643926e+01
4.010000000000000000e+02,1.604027687836344640e+01
4.020000000000000000e+02,1.599176931058230444e+01
4.030000000000000000e+02,1.595712506536165520e+01
4.040000000000000000e+02,1.590683335865227477e+01
4.050000000000000000e+02,1.587621175888460989e+01
4.060000000000000000e+02,1.584517529637437683e+01
4.070000000000000000e+02,1.580424584523019682e+01
4.080000000000000000e+02,1.580173884836028542e+01
4.090000000000000000e+02,1.577036838462751334e+01
4.100000000000000000e+02,1.575571210006467382e+01
4.110000000000000000e+02,1.567304967979534425e+01
4.120000000000000000e+02,1.563448881284961089e+01
4.130000000000000000e+02,1.562396838107500940e+01
4.140000000000000000e+02,1.555881573536469986e+01
4.150000000000000000e+02,1.553650152104258453e+01
4.160000000000000000e+02,1.548202538668659933e+01
4.170000000000000000e+02,1.545211127888556213e+01
4.180000000000000000e+02,1.542624654986970079e+01
4.190000000000000000e+02,1.541176254215691621e+01
4.200000000000000000e+02,1.533563924100446485e+01
4.210000000000000000e+02,1.527335014608108565e+01
4.220000000000000000e+02,1.525475266744356340e+01
4.230000000000000000e+02,1.523289632428125628e+01
4.240000000000000000e+02,1.519904127051501419e+01
4.250000000000000000e+02,1.515020130610600546e+01
4.260000000000000000e+02,1.512637580299761808e+01
4.270000000000000000e+02,1.509301159827704453e+01
4.280000000000000000e+02,1.498586114679742565e+01
4.290000000000000000e+02,1.494121057935210395e+01
4.300000000000000000e+02,1.492781379472582692e+01
4.310000000000000000e+02,1.492022539786068158e+01
4.320000000000000000e+02,1.488971210063728634e+01
4.330000000000000000e+02,1.484239349099577154e+01
4.340000000000000000e+02,1.480714267503100245e+01
4.350000000000000000e+02,1.475427790859496291e+01
4.360000000000000000e+02,1.473677530682171621e+01
4.370000000000000000e+02,1.472337973913077036e+01
4.380000000000000000e+02,1.469215842472283207e+01
4.390000000000000000e+02,1.465494005046923931e+01
4.400000000000000000e+02,1.462315606568401272e+01
4.410000000000000000e+02,1.459820703160854372e+01
4.420000000000000000e+02,1.456013986083887346e+01
4.430000000000000000e+02,1.453344121392756350e+01
4.440000000000000000e+02,1.449448557977865981e+01
4.450000000000000000e+02,1.444456285683506991e+01
4.460000000000000000e+02,1.440272790241567691e+01
4.470000000000000000e+02,1.438494173025624079e+01
4.480000000000000000e+02,1.433605107661536060e+01
4.490000000000000000e+02,1.432696359627844451e+01
4.500000000000000000e+02,1.426456666106293092e+01
4.510000000000000000e+02,1.422454372981057880e+01
4.520000000000000000e+02,1.419782797339985336e+01
4.530000000000000000e+02,1.414826885064702466e+01
4.540000000000000000e+02,1.410404142738241795e+01
4.550000000000000000e+02,1.408771952826177731e+01
4.560000000000000000e+02,1.407480661884857831e+01
4.570000000000000000e+02,1.397970757997446967e+01
4.580000000000000000e+02,1.392847035284493096e+01
4.590000000000000000e+02,1.390044610714848794e+01
4.600000000000000000e+02,1.388272796641463103e+01
4.610000000000000000e+02,1.385559003911169107e+01
4.620000000000000000e+02,1.384912301304333582e+01
4.630000000000000000e+02,1.381987988494495845e+01
4.640000000000000000e+02,1.378338927560875504e+01
4.650000000000000000e+02,1.376796909585260309e+01
4.660000000000000000e+02,1.373422164944978618e+01
4.670000000000000000e+02,1.371333013644234811e+01
4.680000000000000000e+02,1.364969754098073729e+01
4.690000000000000000e+02,1.362702314514453050e+01
4.700000000000000000e+02,1.358878514391470027e+01
4.710000000000000000e+02,1.356953884851096426e+01
4.720000000000000000e+02,1.350793518188044118e+01
4.730000000000000000e+02,1.346071977032868361e+01
4.740000000000000000e+02,1.341732026197568928e+01
4.750000000000000000e+02,1.340426161454669263e+01
4.760000000000000000e+02,1.337875605681480273e+01
4.770000000000000000e+02,1.336123336445300502e+01
4.780000000000000000e+02,1.333005501412302607e+01
4.790000000000000000e+02,1.327423553804363543e+01
4.800000000000000000e+02,1.323432040948717692e+01
4.810000000000000000e+02,1.321868080272534129e+01
4.820000000000000000e+02,1.318023513090096976e+01
4.830000000000000000e+02,1.316695287203068432e+01
4.840000000000000000e+02,1.312667933058323833e+01
