policy,ratio,sigma,S,n,d,boundary,acc_objective,alpha,lam,kappa,E_gen,E_acc,E_acc_corrected,R2_gen,R2_acc,slope_acc,selection_risk,acc_distribution,acc_distribution_se,E_gen_mc,E_gen_mc_se,E_acc_mc,E_acc_mc_se,trials,E_gen_mc_std,E_gen_mc_median,E_gen_mc_q10,E_gen_mc_q90,E_acc_mc_std,E_acc_mc_median,E_acc_mc_q10,E_acc_mc_q90
fixed,0.3480700588428413,24.58393162522664,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0142215961880388,0.1461804554416124,0.1465608471147235,0.9857784038119612,0.6168365573037169,0.6176644726923582,,0.146635588602249,0.0002007974153142,0.0136226981232764,0.0002452447488337,0.1306262197359786,0.0020143113626297,100,0.0024524474883370353,0.013212940933367251,0.010477892966422389,0.016642092761772462,0.02014311362629789,0.12924943268162414,0.10512363708447035,0.15604042474527413
DE_gen_CV,0.3480700588428413,24.58393162522664,1736.3449650425118,1000,10000,False,E_acc,89.0534473759071,0.089053447375907,0.0978378175018775,0.0141377824816648,0.1926159344998323,0.1929848179238184,0.9858622175183352,0.3882398143765461,0.5611196808925782,,0.1930735579137428,0.0002202464321325,0.0135068061342078,0.0002428568592141,0.173228930413703,0.0022286058480714,100,0.002428568592141958,0.01303719259193115,0.01054686450211671,0.01649492457076319,0.022286058480714913,0.17272306438885696,0.14636724844036414,0.20359854658405444
fixed,0.6812920690579622,34.39415726300309,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0208999572003147,0.3525980509133724,0.3533298939551961,0.9791000427996852,-1.1369746412849042,0.4062003276243978,,0.3535644393606857,0.000331655505959,0.0198387719219953,0.0003850244622383,0.3275852723779411,0.0033117239683597,100,0.0038502446223830527,0.01917431684919425,0.015419137974816019,0.024539331210588034,0.03311723968359716,0.32557135484106686,0.2880888745651556,0.37451587830590943
DE_gen_CV,0.6812920690579622,34.39415726300309,1736.3449650425118,1000,10000,False,E_acc,130.22475288674366,0.1302247528867436,0.1397758450431737,0.0202963587988003,0.2276310256618973,0.2284639652440703,0.9797036412011996,0.1674588888392878,0.5228930668478006,,0.2286722092505539,0.0003041780469338,0.0193890794428374,0.0003851070618915,0.2090184217879003,0.0030040533094848,100,0.003851070618915877,0.019024835542224602,0.014723771252497521,0.02417566399734502,0.030040533094848842,0.2062542617288865,0.1697702964461547,0.2486819404871015
fixed,1.333521432163324,48.11915652329192,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0339717922415007,0.5727210302503638,0.5736176728952679,0.9660282077584992,-8.681808888234118,0.2432166556732609,,0.5739751512288482,0.0004059200188492,0.032054708802488,0.0006430897022618,0.5468723082650115,0.0039987804054302,100,0.006430897022618373,0.03060904985640725,0.02510696247362078,0.04067767095228978,0.03998780405430301,0.545015458877557,0.49624236065766014,0.6021584275296318
DE_gen_CV,1.333521432163324,48.11915652329192,1736.3449650425118,1000,10000,False,E_acc,194.02996611138903,0.194029966111389,0.2044127014891475,0.0287381878804244,0.2591816749919878,0.2608857097667056,0.9712618121195756,-0.075514464752489,0.4909011147213266,,0.2612757179340793,0.0004234231639958,0.0275687453826238,0.0006116432600846,0.2417086684222497,0.0040559698586634,100,0.00611643260084674,0.0270738845003246,0.02055446017457396,0.03540322203703363,0.040559698586634295,0.23792234249930494,0.19276129059477098,0.2978630258609284
fixed,2.6101572156825386,67.32112104993318,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.0595578411283285,0.7461018642819514,0.7468537930719501,0.9404421588716716,-39.20356932234795,0.1362281179142543,,0.7472346449335676,0.0003972677819737,0.0560339642503787,0.0011344341278059,0.7253836313553947,0.0038844100551304,100,0.011344341278059937,0.0535003241252454,0.04418503042002039,0.0697990714126275,0.03884410055130485,0.7215051556446642,0.674946374370263,0.7765116647701814
DE_gen_CV,2.6101572156825386,67.32112104993318,1736.3449650425118,1000,10000,False,E_acc,296.9043962439486,0.2969043962439486,0.3082042710407008,0.040053144338738,0.2831887521555555,0.2864442336664488,0.959946855661262,-0.2938135057870994,0.4678451802759317,,0.2870834774748835,0.000589671833608,0.0387828184042521,0.0009743990350446,0.2671533411441988,0.0054662064596533,100,0.009743990350446945,0.03860375454476465,0.027882684432645192,0.05052220255043053,0.0546620645965334,0.26066485942627016,0.20388067176928598,0.3329312882874191
fixed,5.108969774506934,94.18563555298384,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.1096384836377024,0.8589564112436853,0.8594582337693374,0.8903615163622975,-159.30137834350688,0.0732009865975874,,0.8597939373665234,0.0003374346114378,0.1030653862901753,0.0020846908786901,0.8444513223847652,0.0032897584897216,100,0.020846908786901538,0.09859913072329154,0.08175227330203931,0.12932449607719348,0.03289758489721666,0.8406696842990531,0.802081586376756,0.8867559409568705
DE_gen_CV,5.108969774506934,94.18563555298384,1736.3449650425118,1000,10000,False,E_acc,473.6510454190378,0.4736510454190378,0.4859988046096297,0.0548171921082286,0.2922370287506231,0.2982333022837078,0.9451828078917712,-0.384629075160934,0.4594104803544346,,0.2991883022047888,0.0008181685592997,0.0539246214033823,0.0015534634926296,0.278393682975537,0.0073609737845641,100,0.015534634926296706,0.052648736933935444,0.037353382512087724,0.07153525271038656,0.07360973784564177,0.2669753476854534,0.19490420948183915,0.36850023881942523
fixed,10.0,131.77044300762262,1736.3449650425118,1000,10000,False,E_acc,100.0,0.1,0.1090154400223362,0.2076634176650467,0.9246476493724816,0.9249426982224602,0.7923365823349533,-625.610070306507,0.0384139927325888,,0.9252102993875828,0.0002643107543206,0.195256015537004,0.0039346843950265,0.915097474353723,0.0025745501887204,100,0.0393468439502657,0.18501232970360404,0.15467159633622926,0.24714244001780566,0.025745501887204442,0.9136767867539567,0.8810235584677135,0.9466027993671523
