model,metric,tau,noise_255,trace,mc_se,seed_sd,seed_min,seed_max,exact_trace,relative_to_exact,relative_mc_se,outside_rgb_fraction,n_seeds,directions,centers,h
resnet50,variance,0.0627450980392156,15.999999999999979,769.5360541260601,3.24968132685648,172.30669315923018,374.3629208753152,1005.3185467118168,21364.035101848312,0.03602016428345428,0.00015210990392799595,0.03792809077671593,10,64,8,3e-06
resnet50_robust,drift,0.0019607843137254,0.499999999999977,7.2785882857241875,0.026169214173930137,5.724598514219029,1.2047310508828035,20.31690350762682,37.78665988885628,0.19262322489293973,0.0006925516637591919,0.001477321962110013,10,64,8,3e-05
resnet50_robust,drift,0.0078431372549019,1.9999999999999845,71.79436376577716,0.1724745697311859,40.98482435492213,18.2407353474906,126.6452996893181,37.78665988885628,1.8999923247238413,0.004564430151765032,0.004931901425731388,10,64,8,3e-05
resnet50_robust,drift,0.0313725490196078,7.999999999999989,790.8742103580068,1.1635027341231956,576.5951028194336,216.5017276925869,2196.2437529020217,37.78665988885628,20.929984621139926,0.030791362283553565,0.01823576972598115,10,64,8,3e-05
resnet50_robust,drift,0.0627450980392156,15.999999999999979,2377.4689871527553,2.171949036416563,1372.3497311345081,714.876027181461,5196.821249264722,37.78665988885628,62.91820960481078,0.057479254393085315,0.03792809077671593,10,64,8,3e-05
resnet50_robust,even,0.0019607843137254,0.499999999999977,7.525866564557575,0.026886590172025576,5.757070884250246,1.3074642570568744,20.514859218447068,37.78665988885628,0.19916728778605383,0.0007115365647852548,0.001477321962110013,10,64,8,3e-05
resnet50_robust,even,0.0078431372549019,1.9999999999999845,72.82890791813405,0.17332785548288296,41.17346457263825,19.10989173572616,128.2906721068382,37.78665988885628,1.9273708798911897,0.00458701181826339,0.004931901425731388,10,64,8,3e-05
resnet50_robust,even,0.0313725490196078,7.999999999999989,794.7213273701165,1.1674816970615656,577.3190317023248,218.96733093960052,2201.5062521356385,37.78665988885628,21.031796134076643,0.03089666301534816,0.01823576972598115,10,64,8,3e-05
resnet50_robust,even,0.0627450980392156,15.999999999999979,2383.364773139983,2.174741255294262,1372.8132179428706,719.3979080460292,5202.730853276262,37.78665988885628,63.074237843468794,0.057553148695622565,0.03792809077671593,10,64,8,3e-05
resnet50_robust,local_forward,0.0,0.0,37.561978942890335,0.33540855124964697,8.903426534962742,25.626014783032748,51.52835020793515,37.78665988885628,0.9940539611961785,0.008876374684510361,0.0,10,64,8,3e-05
resnet50_robust,neighborhood,0.0019607843137254,0.499999999999977,37.575023066772715,0.33147341095516886,8.84107440183387,25.601691155729707,51.33883732521052,37.78665988885628,0.9943991656657122,0.008772233691206038,0.001477321962110013,10,64,8,3e-05
resnet50_robust,neighborhood,0.0078431372549019,1.9999999999999845,38.13769950735484,0.31873715030501276,8.850969275965829,26.192933548431192,51.826745495558185,37.78665988885628,1.0092900409703078,0.008435176626950614,0.004931901425731388,10,64,8,3e-05
resnet50_robust,neighborhood,0.0313725490196078,7.999999999999989,40.84284699250817,0.25635192695272063,8.871998399338452,28.021863473863394,54.8444225335825,37.78665988885628,1.0808800543006767,0.006784191238567815,0.01823576972598115,10,64,8,3e-05
resnet50_robust,neighborhood,0.0627450980392156,15.999999999999979,43.5756204025779,0.2165103463429575,9.53386237770924,31.714574109479564,60.38007510793214,37.78665988885628,1.1532011702211566,0.005729809064357363,0.03792809077671593,10,64,8,3e-05
resnet50_robust,odd,0.0019607843137254,0.499999999999977,36.80634494621263,0.3320619096327061,8.867458209346998,24.67484047551657,50.55917787967732,37.78665988885628,0.9740565864903886,0.008787807935642255,0.001477321962110013,10,64,8,3e-05
resnet50_robust,odd,0.0078431372549019,1.9999999999999845,34.91808570497009,0.31515254355039224,8.539594393808562,23.294406774698626,48.07417781825589,37.78665988885628,0.9240850026881533,0.008340312281566183,0.004931901425731388,10,64,8,3e-05
resnet50_robust,odd,0.0313725490196078,7.999999999999989,28.00347091932373,0.24592640428097795,6.251561978842405,19.848797183844404,37.88195053661518,37.78665988885628,0.7410941057423887,0.006508286390073458,0.01823576972598115,10,64,8,3e-05
resnet50_robust,odd,0.0627450980392156,15.999999999999979,21.647673492513366,0.1902357547376566,4.504600312556659,16.102510273496563,28.42647075816149,37.78665988885628,0.5728919559491819,0.005034468653678473,0.03792809077671593,10,64,8,3e-05
resnet50_robust,smooth,0.0019607843137254,0.499999999999977,36.72910484624446,0.33135655848831014,8.839568624055374,24.63660344729558,50.515246600483295,37.78665988885628,0.9720124762092639,0.008769141264746478,0.001477321962110013,10,64,8,3e-05
resnet50_robust,smooth,0.0078431372549019,1.9999999999999845,34.69256267126191,0.3172224332679935,8.55360216337635,23.15735232851611,47.983190149713714,37.78665988885628,0.9181166785660552,0.008395090600784909,0.004931901425731388,10,64,8,3e-05
resnet50_robust,smooth,0.0313725490196078,7.999999999999989,26.75257002950376,0.24626686528501854,6.124534781023303,19.066865090185885,36.2094671356175,37.78665988885628,0.7079898066723119,0.006517296474718198,0.01823576972598115,10,64,8,3e-05
resnet50_robust,smooth,0.0627450980392156,15.999999999999979,19.22232029414506,0.18811070508286112,3.863495930718909,14.62921995298273,26.137296503473927,37.78665988885628,0.5087065210496137,0.004978230561689236,0.03792809077671593,10,64,8,3e-05
resnet50_robust,step,0.0019607843137254,0.499999999999977,44.3322115107702,0.33373425578607535,8.38658784557286,30.382900037524976,54.394861621143065,37.78665988885628,1.1732238742764423,0.008832065516446915,0.001477321962110013,10,64,8,3e-05
resnet50_robust,step,0.0078431372549019,1.9999999999999845,107.74699362310415,0.3596219343288878,40.50460915168724,54.05683100312274,166.4007751468315,37.78665988885628,2.8514558825793435,0.009517166518201427,0.004931901425731388,10,64,8,3e-05
resnet50_robust,step,0.0313725490196078,7.999999999999989,822.7247982894402,1.190264724201158,578.501514845864,238.8161281234449,2232.298757964918,37.78665988885628,21.77289023981903,0.03149960138583672,0.01823576972598115,10,64,8,3e-05
resnet50_robust,step,0.0627450980392156,15.999999999999979,2405.0124466324964,2.187785961117216,1372.8326737019734,736.3666499013301,5225.02237939031,37.78665988885628,63.64712979941798,0.057898368565844564,0.03792809077671593,10,64,8,3e-05
resnet50_robust,variance,0.0019607843137254,0.499999999999977,37.05362322504601,0.33206824600740953,8.869132081580965,24.96173638642553,50.80940692737873,37.78665988885628,0.9806006493835024,0.008787975623781986,0.001477321962110013,10,64,8,3e-05
resnet50_robust,variance,0.0078431372549019,1.9999999999999845,35.95262985732696,0.31505970088491875,8.646467501130015,24.17310504629793,49.31688975009615,37.78665988885628,0.9514635578555014,0.008337855259279837,0.004931901425731388,10,64,8,3e-05
resnet50_robust,variance,0.0313725490196078,7.999999999999989,31.850587931433388,0.25170298381291906,7.012810832534227,22.31440043085801,43.24831627964135,37.78665988885628,0.8429056186791067,0.0066611599054604235,0.01823576972598115,10,64,8,3e-05
resnet50_robust,variance,0.0627450980392156,15.999999999999979,27.54345947974081,0.206809698236817,5.881474206124882,20.213692397446607,36.89287335018081,37.78665988885628,0.7289201946071898,0.005473087561724596,0.03792809077671593,10,64,8,3e-05
