pc,kappa_0.160681,kappa_1.60681,kappa_16.0681,kappa_160.681,kappa_1606.81
1.520000000000000000e+02,1.579769439836935796e-01,1.839003339070108822e-01,3.488961927682044939e-01,6.869774641990504804e-01,8.496792011950236034e-01
1.530000000000000000e+02,1.593250356316714689e-01,1.854240328153826112e-01,3.511774795051667009e-01,6.889567152357478630e-01,8.507585552739463930e-01
1.540000000000000000e+02,1.607977723352309596e-01,1.870878576078606748e-01,3.536607578794516149e-01,6.910984918252371934e-01,8.519243740874674620e-01
1.550000000000000000e+02,1.618397749414346720e-01,1.882648721748136911e-01,3.554155286746066289e-01,6.926088063926952865e-01,8.527459400336834250e-01
1.560000000000000000e+02,1.635253270765194555e-01,1.901681471622109487e-01,3.582461425455481518e-01,6.950339600706982868e-01,8.540632685615687780e-01
1.570000000000000000e+02,1.644528681849934670e-01,1.912152751940252582e-01,3.598011780713030738e-01,6.963625895379929043e-01,8.547843542231294833e-01
1.580000000000000000e+02,1.657998455016335693e-01,1.927353363323968671e-01,3.620526206918599499e-01,6.982768273164183803e-01,8.558216872493423777e-01
1.590000000000000000e+02,1.670508063005283206e-01,1.941466662149649303e-01,3.641391858607173626e-01,7.000448408206523254e-01,8.567787697269085845e-01
1.600000000000000000e+02,1.682906469138197303e-01,1.955452180520367567e-01,3.662045039222041054e-01,7.017911523183549827e-01,8.577234864409613024e-01
1.610000000000000000e+02,1.691667575900320797e-01,1.965329220873330285e-01,3.676574753005436569e-01,7.030109508076343161e-01,8.583819199177734616e-01
1.620000000000000000e+02,1.702538782570401088e-01,1.977582686805276768e-01,3.694575732283009728e-01,7.045183712308038526e-01,8.591949800265848980e-01
1.630000000000000000e+02,1.726876748817663954e-01,2.005000571050186142e-01,3.734707553466054542e-01,7.078566450619436790e-01,8.609918672074274859e-01
1.640000000000000000e+02,1.740363524061543377e-01,2.020191180223303296e-01,3.756913361243600646e-01,7.096994041411969212e-01,8.619830475404226533e-01
1.650000000000000000e+02,1.748475670308662633e-01,2.029323092384895666e-01,3.770212090747444567e-01,7.107954199369809212e-01,8.625713347340102644e-01
1.660000000000000000e+02,1.760410882424763290e-01,2.042751678193058806e-01,3.789699011622054137e-01,7.123911701048881717e-01,8.634261920314481031e-01
1.670000000000000000e+02,1.772061958332109277e-01,2.055855026130931074e-01,3.808659393600253851e-01,7.139357668938055568e-01,8.642523509042164820e-01
1.680000000000000000e+02,1.786197937990552931e-01,2.071747118933829623e-01,3.831597335096058043e-01,7.157959648656495588e-01,8.652459629148963050e-01
1.690000000000000000e+02,1.797196197239963045e-01,2.084110202881973017e-01,3.849427114867365884e-01,7.172397915831024706e-01,8.660168341596311548e-01
1.700000000000000000e+02,1.819253316393863729e-01,2.108893305235971793e-01,3.885059873048783974e-01,7.201095568680627723e-01,8.675465203226452315e-01
1.710000000000000000e+02,1.833036806264674301e-01,2.124378681325518048e-01,3.907309163049428324e-01,7.218992504544990974e-01,8.685001392336206827e-01
1.720000000000000000e+02,1.845508719855950552e-01,2.138381987721034438e-01,3.927346352251311346e-01,7.234992425546420414e-01,8.693508176140251065e-01
1.730000000000000000e+02,1.857024144646038377e-01,2.151304164062458335e-01,3.945767400547337544e-01,7.249604621659316850e-01,8.701261862669085190e-01
1.740000000000000000e+02,1.865739614170298100e-01,2.161083164466883200e-01,3.959696512348653274e-01,7.260637979459653168e-01,8.707114044689041599e-01
1.750000000000000000e+02,1.874803097279534869e-01,2.171247348447865599e-01,3.974123717794599275e-01,7.271995789152435608e-01,8.713127383009172666e-01
1.760000000000000000e+02,1.884404815037478975e-01,2.182012004816157591e-01,3.989373520382398230e-01,7.283960299576205388e-01,8.719455576792041196e-01
1.770000000000000000e+02,1.894135067512170700e-01,2.192919031969106924e-01,4.004808592002736534e-01,7.296047672442534937e-01,8.725845261724222146e-01
1.780000000000000000e+02,1.906695335954055048e-01,2.206987284161387453e-01,4.024613018063439851e-01,7.311415623895036742e-01,8.733947424532499948e-01
1.790000000000000000e+02,1.925370698178568707e-01,2.227895926727592735e-01,4.053963679606679138e-01,7.334079906822711381e-01,8.745879228257078530e-01
1.800000000000000000e+02,1.938031662582875847e-01,2.242067335510734838e-01,4.073823191643897723e-01,7.349370398903258828e-01,8.753922188324072540e-01
1.810000000000000000e+02,1.948864249511078339e-01,2.254187589546956805e-01,4.090764939413104040e-01,7.362357206770010487e-01,8.760744681749693674e-01
1.820000000000000000e+02,1.956067171842194030e-01,2.262240822120568928e-01,4.101967191832831539e-01,7.370873177014867217e-01,8.765207716262577442e-01
1.830000000000000000e+02,1.967065317527886270e-01,2.274533192901613543e-01,4.119028326765298287e-01,7.383794168824718840e-01,8.771971967313993979e-01
1.840000000000000000e+02,1.978757835352581151e-01,2.287598689577668432e-01,4.137135372798586008e-01,7.397472389849544250e-01,8.779127399032853329e-01
1.850000000000000000e+02,1.989312572207728447e-01,2.299389634011921590e-01,4.153447050748645397e-01,7.409757296097072565e-01,8.785548401393459272e-01
1.860000000000000000e+02,2.005477433532281695e-01,2.317443747892217742e-01,4.178386423545809025e-01,7.428493189333413849e-01,8.795334172475737233e-01
1.870000000000000000e+02,2.019484359501121651e-01,2.333078166165282463e-01,4.199896467391620036e-01,7.444543362641347084e-01,8.803700954999834627e-01
1.880000000000000000e+02,2.030926370979831141e-01,2.345843949540703521e-01,4.217408291605201365e-01,7.457545922734629684e-01,8.810469557515173689e-01
1.890000000000000000e+02,2.042412171435146473e-01,2.358654745085808635e-01,4.234947251648096267e-01,7.470525755181791627e-01,8.817220014237728831e-01
1.900000000000000000e+02,2.051297299066274504e-01,2.368561516721872928e-01,4.248480407647406421e-01,7.480504170382819007e-01,8.822404100738927557e-01
1.910000000000000000e+02,2.063600942612777434e-01,2.382277210288807900e-01,4.267192866623882863e-01,7.494272193500430834e-01,8.829552717035785703e-01
1.920000000000000000e+02,2.074568857604497663e-01,2.394500041046357941e-01,4.283834339484124398e-01,7.506474709072464835e-01,8.835882396817095197e-01
