pc,kappa_0.160681,kappa_1.60681,kappa_16.0681,kappa_160.681,kappa_1606.81
4.500000000000000000e+01,2.909431166657876211e-02,3.490218676355347216e-02,8.465672436158415415e-02,3.351740601395329366e-01,6.333483828076240663e-01
4.600000000000000000e+01,2.997752436429640746e-02,3.594986886003558035e-02,8.695142436858843693e-02,3.404428166930170141e-01,6.375695898452922172e-01
4.700000000000000000e+01,3.114101339352614434e-02,3.732943263709558729e-02,8.996216491020711525e-02,3.472664853811978647e-01,6.429931623490652282e-01
4.800000000000000000e+01,3.206089991278978507e-02,3.841934228230480669e-02,9.232585940168226701e-02,3.525050088322382869e-01,6.471007721812088720e-01
4.900000000000000000e+01,3.298731728106762962e-02,3.951658504164318186e-02,9.469807276965142018e-02,3.577051385747653245e-01,6.511516904832089780e-01
5.000000000000000000e+01,3.409827392718981637e-02,4.083056911122447119e-02,9.750596922693421931e-02,3.636166859756085334e-01,6.556492453233893070e-01
5.100000000000000000e+01,3.513283220783636196e-02,4.205374962817811507e-02,1.001119204900671328e-01,3.690467004221320568e-01,6.597560472062911074e-01
5.200000000000000000e+01,3.620188738018694646e-02,4.331692982733009734e-02,1.027891563681978399e-01,3.745282359747869605e-01,6.638607594631789066e-01
5.300000000000000000e+01,3.730326766726984461e-02,4.461801459234721046e-02,1.055416140823717958e-01,3.801288065854273035e-01,6.680399581111040597e-01
5.400000000000000000e+01,3.821047158015031947e-02,4.568927716715000253e-02,1.078002077469726039e-01,3.846728045390961359e-01,6.714093936584474287e-01
5.500000000000000000e+01,3.919674435198949175e-02,4.685332585575975595e-02,1.102442846295227652e-01,3.895230780495780865e-01,6.749788064535837684e-01
5.600000000000000000e+01,4.038689238950705918e-02,4.825763095310497269e-02,1.131864350238535599e-01,3.953203943479460247e-01,6.792285576773767763e-01
5.700000000000000000e+01,4.118560310049199091e-02,4.919902315806979481e-02,1.151408592045409379e-01,3.990592780605981549e-01,6.819259045934832342e-01
5.800000000000000000e+01,4.201386755851874849e-02,5.017466436678510999e-02,1.171564477385803049e-01,4.028549769420561866e-01,6.846414423395177362e-01
5.900000000000000000e+01,4.282757452505025347e-02,5.113276169193435583e-02,1.191290955498787857e-01,4.065301075785177076e-01,6.872559040842258771e-01
6.000000000000000000e+01,4.385099110733313432e-02,5.233741836038788980e-02,1.216032850083529210e-01,4.111039724301922549e-01,6.904965474950269799e-01
6.100000000000000000e+01,4.477713054142919147e-02,5.342707848528153308e-02,1.238330437732432232e-01,4.151786111176599681e-01,6.933662360508052735e-01
6.200000000000000000e+01,4.567390402145285466e-02,5.448165441344127863e-02,1.259821324320008484e-01,4.190558644850044812e-01,6.960790059782053785e-01
6.300000000000000000e+01,4.681762674372626915e-02,5.582618010773148648e-02,1.287145776869010605e-01,4.239439414396676820e-01,6.994842628307708088e-01
6.400000000000000000e+01,4.775361675467709038e-02,5.692581083323264290e-02,1.309379641400819638e-01,4.278597895541165208e-01,7.021908129857167280e-01
6.500000000000000000e+01,4.873731565124711507e-02,5.808085403355445209e-02,1.332629803680183411e-01,4.318995595603552506e-01,7.049641956384470332e-01
6.600000000000000000e+01,4.997417342380493926e-02,5.953252515558850322e-02,1.361749073299831914e-01,4.369062976375532314e-01,7.083836170673997179e-01
6.700000000000000000e+01,5.091642529921892868e-02,6.063775405043823202e-02,1.383810948203397784e-01,4.406447356809220506e-01,7.109186600943731005e-01
6.800000000000000000e+01,5.181782906518001691e-02,6.169454023636408713e-02,1.404821080572798975e-01,4.441628460018283153e-01,7.132905550803281258e-01
6.900000000000000000e+01,5.272197409330358492e-02,6.275429862653009172e-02,1.425851786640632834e-01,4.476655199214478187e-01,7.156459252767602974e-01
7.000000000000000000e+01,5.368501116422225161e-02,6.388248857938134961e-02,1.448145875124693949e-01,4.513329602962584675e-01,7.180975121036552444e-01
7.100000000000000000e+01,5.486572863187549193e-02,6.526494871233352868e-02,1.475347860895748764e-01,4.557526118160358797e-01,7.210345806167597349e-01
7.200000000000000000e+01,5.591753470672625181e-02,6.649591510568039765e-02,1.499481892366164859e-01,4.596334088116343364e-01,7.236010089801402367e-01
7.300000000000000000e+01,5.688346056139711310e-02,6.762580900461752365e-02,1.521546532035212562e-01,4.631414704237091784e-01,7.259086918893129514e-01
7.400000000000000000e+01,5.782538909779764286e-02,6.872712253799076465e-02,1.542974196353983085e-01,4.665129959639311430e-01,7.281158865259543811e-01
7.500000000000000000e+01,5.882257000035692046e-02,6.989222420483870435e-02,1.565517940703923805e-01,4.700054807789003641e-01,7.303860245907212168e-01
7.600000000000000000e+01,5.983885880823207326e-02,7.107896802397783986e-02,1.588376243419969691e-01,4.735021884339601916e-01,7.326458786595178019e-01
7.700000000000000000e+01,6.093142177421667638e-02,7.235425314179957934e-02,1.612860289077051867e-01,4.772141455666951693e-01,7.350351600702436095e-01
7.800000000000000000e+01,6.197279901351355341e-02,7.356929071228929251e-02,1.636112042963525082e-01,4.807080173656141930e-01,7.372751087156533822e-01
7.900000000000000000e+01,6.317363006392764935e-02,7.496987068787895614e-02,1.662839126571365178e-01,4.846933794425112296e-01,7.398214322633718254e-01
8.000000000000000000e+01,6.439039631662987762e-02,7.638861622164093423e-02,1.689850030272914694e-01,4.886957323696647371e-01,7.423714727121974999e-01
8.100000000000000000e+01,6.551473134573751467e-02,7.769875183131121077e-02,1.714669013765084682e-01,4.923241404516379149e-01,7.446696130775848355e-01
8.200000000000000000e+01,6.661484443792708987e-02,7.898027304085328271e-02,1.738888345583670114e-01,4.958424289923811235e-01,7.468918222751944613e-01
8.300000000000000000e+01,6.764824795004070745e-02,8.018372815333735248e-02,1.761579880196292303e-01,4.991185468174040296e-01,7.489555398336760206e-01
8.400000000000000000e+01,6.867160044272357933e-02,8.137455422608003142e-02,1.783898155817399966e-01,5.022896957517989369e-01,7.509394099602433315e-01
