trial,sigma,alpha,lam,kappa
42,4.166947281934956,12.30268770812381,0.0123026877081238,0.0176724164225175
42,13.177044300762262,39.81071705534969,0.0398107170553496,0.0470708953309422
42,41.66947281934956,147.91083881682073,0.1479108388168207,0.1577246113141497
43,1.3177044300762262,2.511886431509577,0.0025118864315095,0.0061374390498427
43,4.166947281934956,10.715193052376048,0.010715193052376,0.0158943037819145
43,13.177044300762262,37.1535229097172,0.0371535229097172,0.0442904502986448
43,41.66947281934956,120.22644346174133,0.1202264434617413,0.1296141893266365
44,1.3177044300762262,3.090295432513592,0.0030902954325135,0.0068879449162997
44,4.166947281934956,11.481536214968816,0.0114815362149688,0.0167550522002
44,13.177044300762262,37.1535229097172,0.0371535229097172,0.0442904502986448
44,41.66947281934956,128.82495516931323,0.1288249551693132,0.1383538836469589
45,1.3177044300762262,2.691534803926914,0.0026915348039269,0.0063726729940749
45,4.166947281934956,11.481536214968816,0.0114815362149688,0.0167550522002
45,13.177044300762262,42.65795188015925,0.0426579518801592,0.0500426915655242
45,41.66947281934956,147.91083881682073,0.1479108388168207,0.1577246113141497
46,1.3177044300762262,2.884031503126605,0.0028840315031266,0.0066225297317136
46,4.166947281934956,10.715193052376048,0.010715193052376,0.0158943037819145
46,13.177044300762262,37.1535229097172,0.0371535229097172,0.0442904502986448
46,41.66947281934956,138.03842646028838,0.1380384264602883,0.1477093679019815
47,1.3177044300762262,2.344228815319923,0.0023442288153199,0.0059159522620173
47,4.166947281934956,10.715193052376048,0.010715193052376,0.0158943037819145
47,13.177044300762262,42.65795188015925,0.0426579518801592,0.0500426915655242
47,41.66947281934956,194.98445997580453,0.1949844599758045,0.2053775964962583
48,1.3177044300762262,2.691534803926914,0.0026915348039269,0.0063726729940749
48,4.166947281934956,11.481536214968816,0.0114815362149688,0.0167550522002
48,13.177044300762262,37.1535229097172,0.0371535229097172,0.0442904502986448
48,41.66947281934956,97.72372209558092,0.0977237220955809,0.1066930641864478
49,1.3177044300762262,2.344228815319923,0.0023442288153199,0.0059159522620173
49,4.166947281934956,11.481536214968816,0.0114815362149688,0.0167550522002
49,13.177044300762262,45.70881896148752,0.0457088189614875,0.0532193956875115
49,41.66947281934956,194.98445997580453,0.1949844599758045,0.2053775964962583
50,1.3177044300762262,2.884031503126605,0.0028840315031266,0.0066225297317136
50,4.166947281934956,11.481536214968816,0.0114815362149688,0.0167550522002
50,13.177044300762262,37.1535229097172,0.0371535229097172,0.0442904502986448
50,41.66947281934956,181.97008586099827,0.1819700858609982,0.1922171815590011
51,1.3177044300762262,2.691534803926914,0.0026915348039269,0.0063726729940749
51,4.166947281934956,11.481536214968816,0.0114815362149688,0.0167550522002
51,13.177044300762262,37.1535229097172,0.0371535229097172,0.0442904502986448
51,41.66947281934956,104.71285480508983,0.1047128548050898,0.1138207888318772
52,1.3177044300762262,3.090295432513592,0.0030902954325135,0.0068879449162997
52,4.166947281934956,13.182567385564074,0.013182567385564,0.0186502998192951
52,13.177044300762262,48.97788193684456,0.0489778819368445,0.0566155364806987
52,41.66947281934956,239.88329190194895,0.239883291901949,0.250719404999258
53,1.3177044300762262,3.090295432513592,0.0030902954325135,0.0068879449162997
53,4.166947281934956,12.30268770812381,0.0123026877081238,0.0176724164225175
53,13.177044300762262,42.65795188015925,0.0426579518801592,0.0500426915655242
53,41.66947281934956,158.48931924611108,0.1584893192461111,0.1684467314998097
54,1.3177044300762262,2.187761623949552,0.0021877616239495,0.0057073929469964
54,4.166947281934956,10.715193052376048,0.010715193052376,0.0158943037819145
54,13.177044300762262,42.65795188015925,0.0426579518801592,0.0500426915655242
54,41.66947281934956,138.03842646028838,0.1380384264602883,0.1477093679019815
55,1.3177044300762262,2.691534803926914,0.0026915348039269,0.0063726729940749
55,4.166947281934956,10.715193052376048,0.010715193052376,0.0158943037819145
55,13.177044300762262,45.70881896148752,0.0457088189614875,0.0532193956875115
55,41.66947281934956,181.97008586099827,0.1819700858609982,0.1922171815590011
56,1.3177044300762262,2.691534803926914,0.0026915348039269,0.0063726729940749
56,4.166947281934956,12.30268770812381,0.0123026877081238,0.0176724164225175
56,13.177044300762262,45.70881896148752,0.0457088189614875,0.0532193956875115
56,41.66947281934956,169.82436524617427,0.1698243652461742,0.1799262196097658
57,1.3177044300762262,3.090295432513592,0.0030902954325135,0.0068879449162997
57,4.166947281934956,11.481536214968816,0.0114815362149688,0.0167550522002
57,13.177044300762262,39.81071705534969,0.0398107170553496,0.0470708953309422
57,41.66947281934956,147.91083881682073,0.1479108388168207,0.1577246113141497
58,1.3177044300762262,2.691534803926914,0.0026915348039269,0.0063726729940749
58,4.166947281934956,12.30268770812381,0.0123026877081238,0.0176724164225175
58,13.177044300762262,42.65795188015925,0.0426579518801592,0.0500426915655242
58,41.66947281934956,128.82495516931323,0.1288249551693132,0.1383538836469589
59,1.3177044300762262,2.511886431509577,0.0025118864315095,0.0061374390498427
59,4.166947281934956,10.715193052376048,0.010715193052376,0.0158943037819145
59,13.177044300762262,42.65795188015925,0.0426579518801592,0.0500426915655242
59,41.66947281934956,169.82436524617427,0.1698243652461742,0.1799262196097658
60,1.3177044300762262,2.511886431509577,0.0025118864315095,0.0061374390498427
60,4.166947281934956,10.0,0.01,0.0150865277740793
60,13.177044300762262,39.81071705534969,0.0398107170553496,0.0470708953309422
60,41.66947281934956,158.48931924611108,0.1584893192461111,0.1684467314998097
61,1.3177044300762262,2.884031503126605,0.0028840315031266,0.0066225297317136
61,4.166947281934956,11.481536214968816,0.0114815362149688,0.0167550522002
61,13.177044300762262,42.65795188015925,0.0426579518801592,0.0500426915655242
61,41.66947281934956,194.98445997580453,0.1949844599758045,0.2053775964962583
62,1.3177044300762262,2.344228815319923,0.0023442288153199,0.0059159522620173
62,4.166947281934956,10.0,0.01,0.0150865277740793
62,13.177044300762262,32.35936569296281,0.0323593656929628,0.0392538617781789
62,41.66947281934956,91.20108393559096,0.0912010839355909,0.1000327386715301
63,1.3177044300762262,2.884031503126605,0.0028840315031266,0.0066225297317136
63,4.166947281934956,11.481536214968816,0.0114815362149688,0.0167550522002
63,13.177044300762262,37.1535229097172,0.0371535229097172,0.0442904502986448
63,41.66947281934956,97.72372209558092,0.0977237220955809,0.1066930641864478
64,1.3177044300762262,2.344228815319923,0.0023442288153199,0.0059159522620173
64,4.166947281934956,9.332543007969903,0.0093325430079699,0.0143283232750622
64,13.177044300762262,37.1535229097172,0.0371535229097172,0.0442904502986448
