model,metric,mean,subject_sd,subject_sem,subject_min,subject_max,n_subjects,n_sites
resnet50_dino,trace_df2_075,25630.58859876855,4167.210525548741,1863.6332023359219,20709.323519073558,31167.510416918965,5,25
resnet50_robust,trace_df2_075,67.69085050227078,5.139045202242621,2.298250882331731,62.06415253485284,75.36436088936188,5,25
siglip2_vitb16,trace_df2_075,11091.22961263019,2939.9954502299324,1314.8059360508457,6844.805605162439,13499.11091428071,5,25
AlexNet_training_seed_01,trace_df2_090,70378.98386346138,27876.8587413298,12466.910228954532,25567.06117027818,95875.57958734635,5,25
clipag_vitb32,trace_df2_090,126.62754035455528,68.73326326913914,30.738449797036907,56.017443857030365,220.42052704821498,5,25
dinov2_vitb14_reg,trace_df2_090,15547.796638615135,1237.7105145878372,553.5209694169298,14373.995426445412,17485.674841363205,5,25
radio_v2.5-b,trace_df2_090,8578.644091252163,627.2548042821064,280.5168763176232,7646.291960179566,9138.58373726739,5,25
regnety_640,trace_df2_090,23194.85055911079,4670.631934092529,2088.7701005024423,18030.716867027615,28074.61839540278,5,25
resnet50,trace_df2_090,21133.316789821707,7464.880107449551,3338.395872828626,11345.915278991382,28753.62076370165,5,25
resnet50_clip,trace_df2_090,158546.56338584825,22444.091417831274,10037.302820698073,124425.5382474863,181762.25426299937,5,25
resnet50_dino,trace_df2_090,31629.926167001417,5151.019444256172,2303.605926155998,25553.53826994401,38496.54017708383,5,25
resnet50_robust,trace_df2_090,83.91735300205245,6.573444895522411,2.9397339265474227,76.73399203486912,93.76736008418708,5,25
siglip2_vitb16,trace_df2_090,13462.641208546458,3354.8037228119365,1500.3138350753702,8626.207998822687,16191.004541341696,5,25
