model,subject,noise_255,value,metric
siglip2_vitb16,leap_250426-250501,16.0,1625.911411530599,raw_energy
siglip2_vitb16,paul_20250428-20250430,0.5,7344972.129356079,raw_energy
siglip2_vitb16,paul_20250428-20250430,2.0,4079839.93876791,raw_energy
siglip2_vitb16,paul_20250428-20250430,8.0,266853.58707814955,raw_energy
siglip2_vitb16,paul_20250428-20250430,16.0,61941.659941698796,raw_energy
siglip2_vitb16,red_20250428-20250430,0.5,8245061.858184433,raw_energy
siglip2_vitb16,red_20250428-20250430,2.0,4376694.171198788,raw_energy
siglip2_vitb16,red_20250428-20250430,8.0,363995.1157673394,raw_energy
siglip2_vitb16,red_20250428-20250430,16.0,94199.22871091656,raw_energy
siglip2_vitb16,three0_250426-250501,0.5,3759375.035771561,raw_energy
siglip2_vitb16,three0_250426-250501,2.0,1800193.3357058144,raw_energy
siglip2_vitb16,three0_250426-250501,8.0,227661.08000391998,raw_energy
siglip2_vitb16,three0_250426-250501,16.0,67137.67888086937,raw_energy
siglip2_vitb16,venus_250426-250429,0.5,137069.71613218306,raw_energy
siglip2_vitb16,venus_250426-250429,2.0,59147.6147339344,raw_energy
siglip2_vitb16,venus_250426-250429,8.0,24504.420513400288,raw_energy
siglip2_vitb16,venus_250426-250429,16.0,10604.102722415477,raw_energy
AlexNet_training_seed_01,leap_250426-250501,0.5,23602.867683836535,trace_df2_050
AlexNet_training_seed_01,leap_250426-250501,2.0,18234.831863865285,trace_df2_050
AlexNet_training_seed_01,leap_250426-250501,8.0,8490.677490747017,trace_df2_050
AlexNet_training_seed_01,leap_250426-250501,16.0,4061.1838465156893,trace_df2_050
AlexNet_training_seed_01,paul_20250428-20250430,0.5,27089.749306288002,trace_df2_050
AlexNet_training_seed_01,paul_20250428-20250430,2.0,20894.47117626946,trace_df2_050
AlexNet_training_seed_01,paul_20250428-20250430,8.0,9672.008546420338,trace_df2_050
AlexNet_training_seed_01,paul_20250428-20250430,16.0,4596.976613065643,trace_df2_050
AlexNet_training_seed_01,red_20250428-20250430,0.5,9831.323271570298,trace_df2_050
AlexNet_training_seed_01,red_20250428-20250430,2.0,7770.868222504109,trace_df2_050
AlexNet_training_seed_01,red_20250428-20250430,8.0,3880.681451777163,trace_df2_050
AlexNet_training_seed_01,red_20250428-20250430,16.0,1978.765681755178,trace_df2_050
AlexNet_training_seed_01,three0_250426-250501,0.5,32409.935957616493,trace_df2_050
AlexNet_training_seed_01,three0_250426-250501,2.0,24943.340801122984,trace_df2_050
AlexNet_training_seed_01,three0_250426-250501,8.0,11462.06861887246,trace_df2_050
AlexNet_training_seed_01,three0_250426-250501,16.0,5401.794808819893,trace_df2_050
AlexNet_training_seed_01,venus_250426-250429,0.5,18365.636948857526,trace_df2_050
AlexNet_training_seed_01,venus_250426-250429,2.0,14179.262267980841,trace_df2_050
AlexNet_training_seed_01,venus_250426-250429,8.0,6675.54321340173,trace_df2_050
AlexNet_training_seed_01,venus_250426-250429,16.0,3257.1071897279853,trace_df2_050
clipag_vitb32,leap_250426-250501,0.5,104.88456945456008,trace_df2_050
clipag_vitb32,leap_250426-250501,2.0,104.73401334929994,trace_df2_050
clipag_vitb32,leap_250426-250501,8.0,102.79526225505626,trace_df2_050
clipag_vitb32,leap_250426-250501,16.0,98.53461092657965,trace_df2_050
clipag_vitb32,paul_20250428-20250430,0.5,30.960944754440995,trace_df2_050
clipag_vitb32,paul_20250428-20250430,2.0,30.91096610384565,trace_df2_050
clipag_vitb32,paul_20250428-20250430,8.0,30.154817319946925,trace_df2_050
clipag_vitb32,paul_20250428-20250430,16.0,28.89835199981095,trace_df2_050
clipag_vitb32,red_20250428-20250430,0.5,28.281479913587155,trace_df2_050
clipag_vitb32,red_20250428-20250430,2.0,28.236015026755034,trace_df2_050
clipag_vitb32,red_20250428-20250430,8.0,27.540138957113076,trace_df2_050
clipag_vitb32,red_20250428-20250430,16.0,26.515952126238794,trace_df2_050
clipag_vitb32,three0_250426-250501,0.5,71.38642437762095,trace_df2_050
clipag_vitb32,three0_250426-250501,2.0,71.29020567989559,trace_df2_050
clipag_vitb32,three0_250426-250501,8.0,69.97847247938164,trace_df2_050
clipag_vitb32,three0_250426-250501,16.0,67.1751715418046,trace_df2_050
clipag_vitb32,venus_250426-250429,0.5,71.38642437762095,trace_df2_050
clipag_vitb32,venus_250426-250429,2.0,71.29020567989559,trace_df2_050
clipag_vitb32,venus_250426-250429,8.0,69.97847247938164,trace_df2_050
clipag_vitb32,venus_250426-250429,16.0,67.1751715418046,trace_df2_050
dinov2_vitb14_reg,leap_250426-250501,0.5,6229.581372641505,trace_df2_050
dinov2_vitb14_reg,leap_250426-250501,2.0,2237.7717941597684,trace_df2_050
dinov2_vitb14_reg,leap_250426-250501,8.0,410.8981377788511,trace_df2_050
dinov2_vitb14_reg,leap_250426-250501,16.0,153.7842390493747,trace_df2_050
dinov2_vitb14_reg,paul_20250428-20250430,0.5,6292.70168612057,trace_df2_050
dinov2_vitb14_reg,paul_20250428-20250430,2.0,1934.4538966350513,trace_df2_050
dinov2_vitb14_reg,paul_20250428-20250430,8.0,326.59576567008787,trace_df2_050
dinov2_vitb14_reg,paul_20250428-20250430,16.0,116.45183906314391,trace_df2_050
dinov2_vitb14_reg,red_20250428-20250430,0.5,6684.631275782421,trace_df2_050
dinov2_vitb14_reg,red_20250428-20250430,2.0,1977.6844940638953,trace_df2_050
dinov2_vitb14_reg,red_20250428-20250430,8.0,329.27994160843764,trace_df2_050
dinov2_vitb14_reg,red_20250428-20250430,16.0,116.89534008940059,trace_df2_050
dinov2_vitb14_reg,three0_250426-250501,0.5,6147.142099252632,trace_df2_050
dinov2_vitb14_reg,three0_250426-250501,2.0,2071.345891517763,trace_df2_050
dinov2_vitb14_reg,three0_250426-250501,8.0,372.42676102900157,trace_df2_050
dinov2_vitb14_reg,three0_250426-250501,16.0,137.67137528859286,trace_df2_050
dinov2_vitb14_reg,venus_250426-250429,0.5,6440.764889554308,trace_df2_050
dinov2_vitb14_reg,venus_250426-250429,2.0,2175.2733565652147,trace_df2_050
dinov2_vitb14_reg,venus_250426-250429,8.0,378.99420725819533,trace_df2_050
dinov2_vitb14_reg,venus_250426-250429,16.0,137.4636066206241,trace_df2_050
radio_v2.5-b,leap_250426-250501,0.5,3622.201175665244,trace_df2_050
radio_v2.5-b,leap_250426-250501,2.0,1890.539686903975,trace_df2_050
radio_v2.5-b,leap_250426-250501,8.0,460.66682520506066,trace_df2_050
radio_v2.5-b,leap_250426-250501,16.0,183.79732672939517,trace_df2_050
radio_v2.5-b,paul_20250428-20250430,0.5,4133.1859295964205,trace_df2_050
radio_v2.5-b,paul_20250428-20250430,2.0,2096.573389760767,trace_df2_050
radio_v2.5-b,paul_20250428-20250430,8.0,457.2354308622357,trace_df2_050
radio_v2.5-b,paul_20250428-20250430,16.0,176.54963011896118,trace_df2_050
radio_v2.5-b,red_20250428-20250430,0.5,4045.8494364623575,trace_df2_050
radio_v2.5-b,red_20250428-20250430,2.0,2062.6423767872216,trace_df2_050
radio_v2.5-b,red_20250428-20250430,8.0,441.38494577922296,trace_df2_050
radio_v2.5-b,red_20250428-20250430,16.0,168.88405041349674,trace_df2_050
radio_v2.5-b,three0_250426-250501,0.5,4090.3557822245166,trace_df2_050
radio_v2.5-b,three0_250426-250501,2.0,2019.9095018891048,trace_df2_050
radio_v2.5-b,three0_250426-250501,8.0,467.3235780924447,trace_df2_050
radio_v2.5-b,three0_250426-250501,16.0,188.53646253566697,trace_df2_050
radio_v2.5-b,venus_250426-250429,0.5,3897.877542475806,trace_df2_050
radio_v2.5-b,venus_250426-250429,2.0,2021.407713013172,trace_df2_050
radio_v2.5-b,venus_250426-250429,8.0,461.8364139495289,trace_df2_050
radio_v2.5-b,venus_250426-250429,16.0,177.6050444095381,trace_df2_050
regnety_640,leap_250426-250501,0.5,7950.889269342684,trace_df2_050
regnety_640,leap_250426-250501,2.0,1813.6799148003684,trace_df2_050
regnety_640,leap_250426-250501,8.0,244.08626069894672,trace_df2_050
regnety_640,leap_250426-250501,16.0,82.14561850871081,trace_df2_050
regnety_640,paul_20250428-20250430,0.5,5024.965355469371,trace_df2_050
regnety_640,paul_20250428-20250430,2.0,1174.9146537423478,trace_df2_050
regnety_640,paul_20250428-20250430,8.0,171.51117994117985,trace_df2_050
regnety_640,paul_20250428-20250430,16.0,62.84674015658924,trace_df2_050
regnety_640,red_20250428-20250430,0.5,4904.739578641088,trace_df2_050
regnety_640,red_20250428-20250430,2.0,1145.7009070538888,trace_df2_050
regnety_640,red_20250428-20250430,8.0,167.1062450951426,trace_df2_050
regnety_640,red_20250428-20250430,16.0,61.34210085399215,trace_df2_050
regnety_640,three0_250426-250501,0.5,7388.295511597434,trace_df2_050
regnety_640,three0_250426-250501,2.0,1683.0401102156081,trace_df2_050
regnety_640,three0_250426-250501,8.0,226.4402880228792,trace_df2_050
regnety_640,three0_250426-250501,16.0,76.07945444907688,trace_df2_050
regnety_640,venus_250426-250429,0.5,7093.909709087033,trace_df2_050
regnety_640,venus_250426-250429,2.0,1602.9741744332125,trace_df2_050
regnety_640,venus_250426-250429,8.0,220.45962059722635,trace_df2_050
regnety_640,venus_250426-250429,16.0,75.54630924831245,trace_df2_050
resnet50,leap_250426-250501,0.5,4163.776372738119,trace_df2_050
resnet50,leap_250426-250501,2.0,1794.3482197604858,trace_df2_050
resnet50,leap_250426-250501,8.0,380.8860007849855,trace_df2_050
resnet50,leap_250426-250501,16.0,127.08368210554706,trace_df2_050
resnet50,paul_20250428-20250430,0.5,6067.2736827687195,trace_df2_050
resnet50,paul_20250428-20250430,2.0,2601.1661545072766,trace_df2_050
resnet50,paul_20250428-20250430,8.0,583.4161001356712,trace_df2_050
resnet50,paul_20250428-20250430,16.0,223.8603966823699,trace_df2_050
resnet50,red_20250428-20250430,0.5,6811.727660416401,trace_df2_050
resnet50,red_20250428-20250430,2.0,2719.7035327623244,trace_df2_050
resnet50,red_20250428-20250430,8.0,543.0237437733972,trace_df2_050
resnet50,red_20250428-20250430,16.0,181.3297673395943,trace_df2_050
resnet50,three0_250426-250501,0.5,6378.424039924679,trace_df2_050
resnet50,three0_250426-250501,2.0,2573.6468249522445,trace_df2_050
resnet50,three0_250426-250501,8.0,518.9883859109962,trace_df2_050
resnet50,three0_250426-250501,16.0,173.2916250573805,trace_df2_050
resnet50,venus_250426-250429,0.5,3111.0390502011724,trace_df2_050
resnet50,venus_250426-250429,2.0,1328.0806845555867,trace_df2_050
resnet50,venus_250426-250429,8.0,290.62473450927496,trace_df2_050
resnet50,venus_250426-250429,16.0,100.4220762658207,trace_df2_050
resnet50_clip,leap_250426-250501,0.5,19081.36330069919,trace_df2_050
resnet50_clip,leap_250426-250501,2.0,2866.4874581634217,trace_df2_050
resnet50_clip,leap_250426-250501,8.0,306.87670229444603,trace_df2_050
resnet50_clip,leap_250426-250501,16.0,93.43362549807054,trace_df2_050
resnet50_clip,paul_20250428-20250430,0.5,20792.115472469814,trace_df2_050
resnet50_clip,paul_20250428-20250430,2.0,3273.071557888486,trace_df2_050
resnet50_clip,paul_20250428-20250430,8.0,398.0657412668806,trace_df2_050
resnet50_clip,paul_20250428-20250430,16.0,112.0400863901801,trace_df2_050
resnet50_clip,red_20250428-20250430,0.5,19126.588346962184,trace_df2_050
resnet50_clip,red_20250428-20250430,2.0,2970.7355809413084,trace_df2_050
resnet50_clip,red_20250428-20250430,8.0,368.23472111974615,trace_df2_050
resnet50_clip,red_20250428-20250430,16.0,104.03883243811606,trace_df2_050
resnet50_clip,three0_250426-250501,0.5,23595.326535200533,trace_df2_050
resnet50_clip,three0_250426-250501,2.0,3266.003056021256,trace_df2_050
resnet50_clip,three0_250426-250501,8.0,355.26641219425755,trace_df2_050
resnet50_clip,three0_250426-250501,16.0,101.48555486631227,trace_df2_050
resnet50_clip,venus_250426-250429,0.5,21230.618504355374,trace_df2_050
resnet50_clip,venus_250426-250429,2.0,2993.913561464347,trace_df2_050
resnet50_clip,venus_250426-250429,8.0,315.4602217777035,trace_df2_050
resnet50_clip,venus_250426-250429,16.0,88.96201248861084,trace_df2_050
resnet50_dino,leap_250426-250501,0.5,8462.408393050837,trace_df2_050
resnet50_dino,leap_250426-250501,2.0,2186.1277249297063,trace_df2_050
resnet50_dino,leap_250426-250501,8.0,330.49200895918256,trace_df2_050
resnet50_dino,leap_250426-250501,16.0,108.2979523148636,trace_df2_050
resnet50_dino,paul_20250428-20250430,0.5,5930.579109406874,trace_df2_050
resnet50_dino,paul_20250428-20250430,2.0,1625.656304959738,trace_df2_050
resnet50_dino,paul_20250428-20250430,8.0,246.78079747090692,trace_df2_050
resnet50_dino,paul_20250428-20250430,16.0,83.39605052941772,trace_df2_050
resnet50_dino,red_20250428-20250430,0.5,6407.39353990872,trace_df2_050
resnet50_dino,red_20250428-20250430,2.0,1753.41935300119,trace_df2_050
resnet50_dino,red_20250428-20250430,8.0,266.64588671514906,trace_df2_050
resnet50_dino,red_20250428-20250430,16.0,89.43685544441556,trace_df2_050
resnet50_dino,three0_250426-250501,0.5,7395.582803471609,trace_df2_050
resnet50_dino,three0_250426-250501,2.0,1906.5773923048682,trace_df2_050
resnet50_dino,three0_250426-250501,8.0,288.9462830128728,trace_df2_050
resnet50_dino,three0_250426-250501,16.0,94.89241693935455,trace_df2_050
resnet50_dino,venus_250426-250429,0.5,6993.225196418697,trace_df2_050
