model,subject,value,metric
radio_v2.5-b,red_20250428-20250430,4553.07402668855,trace_df2_050
radio_v2.5-b,three0_250426-250501,4612.447166624735,trace_df2_050
radio_v2.5-b,venus_250426-250429,4300.412225438539,trace_df2_050
regnety_640,leap_250426-250501,15056.312502215,trace_df2_050
regnety_640,paul_20250428-20250430,9780.724122838166,trace_df2_050
regnety_640,red_20250428-20250430,9598.101188845385,trace_df2_050
regnety_640,three0_250426-250501,14014.782885007928,trace_df2_050
regnety_640,venus_250426-250429,13646.803198032,trace_df2_050
resnet50,leap_250426-250501,7872.174310436806,trace_df2_050
resnet50,paul_20250428-20250430,12441.339112942873,trace_df2_050
resnet50,red_20250428-20250430,15126.245303477754,trace_df2_050
resnet50,three0_250426-250501,13790.939055203591,trace_df2_050
resnet50,venus_250426-250429,6019.470863890326,trace_df2_050
resnet50_clip,leap_250426-250501,62500.64723205942,trace_df2_050
resnet50_clip,paul_20250428-20250430,90571.58826497046,trace_df2_050
resnet50_clip,red_20250428-20250430,81349.86312701649,trace_df2_050
resnet50_clip,three0_250426-250501,92512.42664035525,trace_df2_050
resnet50_clip,venus_250426-250429,78740.00657897581,trace_df2_050
resnet50_dino,leap_250426-250501,19616.29783548906,trace_df2_050
resnet50_dino,paul_20250428-20250430,13160.313472574426,trace_df2_050
resnet50_dino,red_20250428-20250430,14205.008371002115,trace_df2_050
resnet50_dino,three0_250426-250501,17329.834865180383,trace_df2_050
resnet50_dino,venus_250426-250429,16657.613251158815,trace_df2_050
resnet50_robust,leap_250426-250501,46.86272199870386,trace_df2_050
resnet50_robust,paul_20250428-20250430,43.80637579020409,trace_df2_050
resnet50_robust,red_20250428-20250430,41.46975769858566,trace_df2_050
resnet50_robust,three0_250426-250501,40.796517837829484,trace_df2_050
resnet50_robust,venus_250426-250429,39.108050908126216,trace_df2_050
siglip2_vitb16,leap_250426-250501,4063.3403319364643,trace_df2_050
siglip2_vitb16,paul_20250428-20250430,9085.86660500823,trace_df2_050
siglip2_vitb16,red_20250428-20250430,9054.557894459133,trace_df2_050
siglip2_vitb16,three0_250426-250501,8124.939391450466,trace_df2_050
siglip2_vitb16,venus_250426-250429,5842.567570873403,trace_df2_050
AlexNet_training_seed_01,leap_250426-250501,47818.84968904956,trace_df2_075
AlexNet_training_seed_01,paul_20250428-20250430,58335.993530990665,trace_df2_075
AlexNet_training_seed_01,red_20250428-20250430,19552.257406451718,trace_df2_075
AlexNet_training_seed_01,three0_250426-250501,70356.96736879632,trace_df2_075
AlexNet_training_seed_01,venus_250426-250429,51616.60711893686,trace_df2_075
clipag_vitb32,leap_250426-250501,175.45895097593572,trace_df2_075
clipag_vitb32,paul_20250428-20250430,49.73484521053554,trace_df2_075
clipag_vitb32,red_20250428-20250430,45.303525033637435,trace_df2_075
clipag_vitb32,three0_250426-250501,118.10195587352095,trace_df2_075
clipag_vitb32,venus_250426-250429,118.10195587352095,trace_df2_075
dinov2_vitb14_reg,leap_250426-250501,11721.800882074456,trace_df2_075
dinov2_vitb14_reg,paul_20250428-20250430,13116.179804122383,trace_df2_075
dinov2_vitb14_reg,red_20250428-20250430,14340.417729405617,trace_df2_075
dinov2_vitb14_reg,three0_250426-250501,12062.82817159358,trace_df2_075
dinov2_vitb14_reg,venus_250426-250429,12392.402495874485,trace_df2_075
radio_v2.5-b,leap_250426-250501,6234.290534664299,trace_df2_075
radio_v2.5-b,paul_20250428-20250430,7398.68058786017,trace_df2_075
radio_v2.5-b,red_20250428-20250430,7203.974189448453,trace_df2_075
radio_v2.5-b,three0_250426-250501,7302.421294542239,trace_df2_075
radio_v2.5-b,venus_250426-250429,6723.129907559003,trace_df2_075
regnety_640,leap_250426-250501,23130.53411771209,trace_df2_075
regnety_640,paul_20250428-20250430,15094.166855537598,trace_df2_075
regnety_640,red_20250428-20250430,14819.998405891838,trace_df2_075
regnety_640,three0_250426-250501,21528.22221662753,trace_df2_075
regnety_640,venus_250426-250429,20929.000833109414,trace_df2_075
resnet50,leap_250426-250501,12417.210012858826,trace_df2_075
resnet50,paul_20250428-20250430,19520.596151882935,trace_df2_075
resnet50,red_20250428-20250430,23522.242687381942,trace_df2_075
