model,metric,noise_255,mean_ratio,subject_sd_ratio,subject_sem_ratio,subject_min_ratio,subject_max_ratio,n_subjects
regnety_640,variance,0.5,0.6494641261447424,0.008455292058112778,0.003781321562310855,0.6395028810925466,0.6578871504442205,5
regnety_640,variance,2.0,0.2101278325766734,0.0016182581905826074,0.000723707063857704,0.2073374055556186,0.21151632095286566,5
regnety_640,variance,8.0,0.0407637138222372,0.0025101480271671303,0.0011225723244665386,0.038837678341123005,0.04358455714473947,5
regnety_640,variance,16.0,0.017416736193984605,0.0019492917125627398,0.0008717497554534534,0.015857413993104905,0.019564841993815252,5
resnet50,neighborhood,0.5,0.9357886828679387,0.031229598374110715,0.013966300974905694,0.9047592533413092,0.9716874994794629,5
resnet50,neighborhood,2.0,0.7664972107612527,0.03640613434499045,0.016281318238677685,0.7230638204212237,0.807902441425375,5
resnet50,neighborhood,8.0,0.330001610000474,0.02915199078043427,0.013037166612899635,0.3047832937431129,0.374240424764842,5
resnet50,neighborhood,16.0,0.17004424258606324,0.02824330322387558,0.012630789183544952,0.15078885371057676,0.21818362669236965,5
resnet50,smooth,0.5,0.4892512975926084,0.0337910897722587,0.015111834752913667,0.45032508224961026,0.5289232947011665,5
resnet50,smooth,2.0,0.20481195359218501,0.02097428419488393,0.009379985047831984,0.17980030590519533,0.22793552949933626,5
resnet50,smooth,8.0,0.04341799423313455,0.006131562533027338,0.0027421181264279853,0.035899440533900887,0.04838383726844219,5
resnet50,smooth,16.0,0.015074584344995135,0.0026491099065864,0.0011847179661990616,0.01198775794664019,0.017993271837553667,5
resnet50,step,0.5,1.4095239149944274,0.06289938860860929,0.028129461734405253,1.3098756467131831,1.4716898277934556,5
resnet50,step,2.0,2.8055875107306347,0.25644100809168685,0.11468390526231709,2.604320944338082,3.2545012556656063,5
resnet50,step,8.0,1.3239609742046028,0.3860263394839156,0.17263622723828928,0.9561828935089562,1.9335551958081874,5
resnet50,step,16.0,0.657911970310432,0.2041198546351421,0.09128517410431065,0.4497244710703141,0.9595870208290896,5
resnet50,variance,0.5,0.6074001871203485,0.03507304498653402,0.015685142553559656,0.5680779848931485,0.6496520070775549,5
resnet50,variance,2.0,0.3360406775099513,0.03076606806565031,0.01375900391903591,0.30025471648983154,0.3729517763824185,5
resnet50,variance,8.0,0.10260412709971789,0.01246090073906492,0.0055726842226853065,0.08744493242779927,0.1126599974809571,5
resnet50,variance,16.0,0.043356843975713634,0.006995121052005354,0.003128313236624763,0.035888733763717,0.05238614324058473,5
resnet50_clip,neighborhood,0.5,0.9911144650127589,0.10086384404002177,0.04510768234908514,0.8605190314954728,1.1195062216367175,5
resnet50_clip,neighborhood,2.0,0.42131025856968324,0.07308840475999867,0.03268612828207525,0.32910022803477057,0.5059122098854778,5
