model,subject,metric,noise_255,energy,exact_energy,ratio
dinov2_vitb14_reg,leap_250426-250501,step,8.0,7819.626315481527,7467.836577636959,1.0471073160462603
dinov2_vitb14_reg,leap_250426-250501,step,16.0,4146.869777809397,7467.836577636959,0.5552973387537073
dinov2_vitb14_reg,leap_250426-250501,variance,0.5,6768.937709637424,7467.836577636959,0.9064121368037907
dinov2_vitb14_reg,leap_250426-250501,variance,2.0,3296.888765881967,7467.836577636959,0.4414784297442672
dinov2_vitb14_reg,leap_250426-250501,variance,8.0,761.810488534112,7467.836577636959,0.10201220669657061
dinov2_vitb14_reg,leap_250426-250501,variance,16.0,328.5138121069824,7467.836577636959,0.04399049292143639
dinov2_vitb14_reg,paul_20250428-20250430,neighborhood,0.5,8192.527905280072,8475.44851260174,0.966618804078509
dinov2_vitb14_reg,paul_20250428-20250430,neighborhood,2.0,5016.125439471219,8475.44851260174,0.591841886835013
dinov2_vitb14_reg,paul_20250428-20250430,neighborhood,8.0,1306.261046578869,8475.44851260174,0.1541229404717227
dinov2_vitb14_reg,paul_20250428-20250430,neighborhood,16.0,606.8234893728933,8475.44851260174,0.07159780257890026
dinov2_vitb14_reg,paul_20250428-20250430,smooth,0.5,6292.70168612057,8475.44851260174,0.7424623814025006
dinov2_vitb14_reg,paul_20250428-20250430,smooth,2.0,1934.4538966350513,8475.44851260174,0.22824206810516326
dinov2_vitb14_reg,paul_20250428-20250430,smooth,8.0,326.59576567008787,8475.44851260174,0.03853433422248843
dinov2_vitb14_reg,paul_20250428-20250430,smooth,16.0,116.45183906314391,8475.44851260174,0.013739902836999978
dinov2_vitb14_reg,paul_20250428-20250430,step,0.5,10542.801154873137,8475.44851260174,1.2439225061892063
dinov2_vitb14_reg,paul_20250428-20250430,step,2.0,10028.720707132563,8475.44851260174,1.183267256266301
dinov2_vitb14_reg,paul_20250428-20250430,step,8.0,4012.222358684233,8475.44851260174,0.47339351454010375
dinov2_vitb14_reg,paul_20250428-20250430,step,16.0,2068.741600493141,8475.44851260174,0.24408638639208624
dinov2_vitb14_reg,paul_20250428-20250430,variance,0.5,7126.402967995006,8475.44851260174,0.8408290083290693
dinov2_vitb14_reg,paul_20250428-20250430,variance,2.0,3056.697014584067,8475.44851260174,0.36065312768276625
dinov2_vitb14_reg,paul_20250428-20250430,variance,8.0,651.3885234230006,8475.44851260174,0.07685593540618907
dinov2_vitb14_reg,paul_20250428-20250430,variance,16.0,269.4464231152631,8475.44851260174,0.03179140581346651
dinov2_vitb14_reg,red_20250428-20250430,neighborhood,0.5,9062.398250671089,9270.980599788036,0.977501587143682
dinov2_vitb14_reg,red_20250428-20250430,neighborhood,2.0,5569.7631149361105,9270.980599788036,0.6007738938708871
dinov2_vitb14_reg,red_20250428-20250430,neighborhood,8.0,1426.4896568601255,9270.980599788036,0.15386610310593676
dinov2_vitb14_reg,red_20250428-20250430,neighborhood,16.0,665.2073115755126,9270.980599788036,0.07175155900884113
dinov2_vitb14_reg,red_20250428-20250430,smooth,0.5,6684.631275782421,9270.980599788036,0.7210274257218544
dinov2_vitb14_reg,red_20250428-20250430,smooth,2.0,1977.6844940638953,9270.980599788036,0.21331988270033825
dinov2_vitb14_reg,red_20250428-20250430,smooth,8.0,329.27994160843764,9270.980599788036,0.03551727220915186
dinov2_vitb14_reg,red_20250428-20250430,smooth,16.0,116.89534008940059,9270.980599788036,0.012608735271441858
dinov2_vitb14_reg,red_20250428-20250430,step,0.5,10841.029022702016,9270.980599788036,1.1693508476276906
dinov2_vitb14_reg,red_20250428-20250430,step,2.0,9063.999245967605,9270.980599788036,0.977674276028022
dinov2_vitb14_reg,red_20250428-20250430,step,8.0,3448.442179179389,9270.980599788036,0.3719608882859955
dinov2_vitb14_reg,red_20250428-20250430,step,16.0,1776.231252935635,9270.980599788036,0.19159044006372372
