pc,kappa_3.28792,kappa_32.8792,kappa_328.792,kappa_3287.92,kappa_32879.2
1.530000000000000000e+02,1.602506032807391456e-01,1.665233264196593344e-01,2.166010749162109728e-01,3.886281489091598651e-01,5.461264005356256668e-01
1.540000000000000000e+02,1.612772142844493273e-01,1.675762835575823617e-01,2.178270120163493806e-01,3.900318689334978384e-01,5.473049443070666653e-01
1.550000000000000000e+02,1.624801915020190335e-01,1.688100259267913961e-01,2.192624711558920358e-01,3.916726525844962392e-01,5.486815207781268189e-01
1.560000000000000000e+02,1.641008597248510836e-01,1.704720100141195460e-01,2.211950097971058515e-01,3.938781424083785954e-01,5.505306484810861267e-01
1.570000000000000000e+02,1.654034643253281534e-01,1.718077099118780759e-01,2.227471425668736960e-01,3.956465438022832015e-01,5.520122742748366784e-01
1.580000000000000000e+02,1.664755833597220680e-01,1.729069628540958192e-01,2.240235704899085634e-01,3.970980585043432098e-01,5.532274319047911781e-01
1.590000000000000000e+02,1.676259918983962205e-01,1.740863074465395510e-01,2.253913953572853623e-01,3.986488319844045392e-01,5.545240517384659729e-01
1.600000000000000000e+02,1.686603890277636464e-01,1.751466491911099765e-01,2.266205426054367922e-01,4.000404736401870776e-01,5.556869546414078265e-01
1.610000000000000000e+02,1.696547639485831982e-01,1.761656819597502421e-01,2.277992821123453748e-01,4.013677634326425214e-01,5.567935578536370445e-01
1.620000000000000000e+02,1.712100106851013603e-01,1.777594663655517049e-01,2.296425986206823977e-01,4.034426590896905696e-01,5.585232125458640118e-01
1.630000000000000000e+02,1.722107750466750908e-01,1.787847924726713722e-01,2.308263556322062704e-01,4.047691259484572646e-01,5.596268969352174993e-01
1.640000000000000000e+02,1.738129866501273435e-01,1.804262741145347682e-01,2.327210046038339641e-01,4.068908466430122828e-01,5.613918087747035157e-01
1.650000000000000000e+02,1.749853781324866853e-01,1.816272994561918541e-01,2.341063667868299447e-01,4.084396875015706141e-01,5.626793026465023440e-01
1.660000000000000000e+02,1.760657020227748004e-01,1.827339430269582232e-01,2.353822803281884479e-01,4.098645158658393295e-01,5.638631432396891130e-01
1.670000000000000000e+02,1.771385744864256984e-01,1.838329275257535589e-01,2.366491321006823911e-01,4.112785696034309546e-01,5.650378065971596309e-01
1.680000000000000000e+02,1.782948176175411237e-01,1.850171735522758709e-01,2.380130458003734961e-01,4.127975060284028719e-01,5.662984124945609210e-01
1.690000000000000000e+02,1.796965837196811411e-01,1.864527656249734267e-01,2.396653497261726495e-01,4.146345435171912563e-01,5.678219702622924192e-01
1.700000000000000000e+02,1.808619112674037244e-01,1.876460948698563946e-01,2.410377712697251429e-01,4.161574618688224092e-01,5.690840069183008554e-01
1.710000000000000000e+02,1.822704817347527706e-01,1.890883826870914663e-01,2.426953751193997033e-01,4.179936443010316971e-01,5.706045580258690686e-01
1.720000000000000000e+02,1.835510076852273631e-01,1.903994760109227191e-01,2.442014505613343545e-01,4.196598837632916634e-01,5.719836680513353810e-01
1.730000000000000000e+02,1.847438592971211158e-01,1.916206428527927053e-01,2.456028246546802518e-01,4.212063865966165777e-01,5.732623521489225160e-01
1.740000000000000000e+02,1.858012446076728053e-01,1.927029520339629265e-01,2.468433065356017975e-01,4.225710596208657743e-01,5.743892506584752367e-01
1.750000000000000000e+02,1.866448603509908710e-01,1.935663306937939476e-01,2.478317918283775012e-01,4.236555557158703800e-01,5.752837947646717298e-01
1.760000000000000000e+02,1.879014987881635901e-01,1.948523022188333176e-01,2.493031817173465281e-01,4.252673235615205827e-01,5.766124047353271553e-01
1.770000000000000000e+02,1.890091038867713902e-01,1.959856435572863431e-01,2.505989021370425007e-01,4.266838352408766077e-01,5.777791130086400440e-01
1.780000000000000000e+02,1.903449350057882794e-01,1.973524918519287130e-01,2.521613919257020830e-01,4.283914571011087080e-01,5.791854166953185334e-01
1.790000000000000000e+02,1.916648399526864333e-01,1.987028990907404868e-01,2.537038204535322916e-01,4.300736983347994702e-01,5.805696618513237484e-01
1.800000000000000000e+02,1.927471186405765036e-01,1.998099934189358495e-01,2.549666362603489889e-01,4.314463615378936190e-01,5.816976280551173772e-01
1.810000000000000000e+02,1.941086064311026704e-01,2.012026384333297779e-01,2.565546416528245444e-01,4.331710776752014103e-01,5.831144145502122900e-01
1.820000000000000000e+02,1.954587243860896606e-01,2.025833030421293479e-01,2.581259412939118092e-01,4.348694558958031697e-01,5.845068504206932802e-01
1.830000000000000000e+02,1.969138467718210828e-01,2.040711544428138735e-01,2.598175507873805024e-01,4.366933872784603543e-01,5.860007401163728202e-01
1.840000000000000000e+02,1.981394079440524369e-01,2.053242268111623581e-01,2.612417569867575007e-01,4.382277391206972350e-01,5.872570342278148336e-01
1.850000000000000000e+02,1.992486497098355513e-01,2.064581569652959581e-01,2.625287185540211565e-01,4.396093652439106991e-01,5.883866793835765829e-01
1.860000000000000000e+02,2.008918214228989085e-01,2.081378918171315484e-01,2.644350676702026393e-01,4.416557344757453540e-01,5.900597645719756201e-01
