trial,gen_baseline,gen_linear,gen_noise,N0_over_D0,N1_over_D0,D1_over_D0,D2_over_D0,slope_fit_error,gen_fit_error
50,6.389057009634555e-05,4.193006737531862e-05,0.0016966466241788941,1.0000018249074425,-0.009458397542979113,-0.01881656284548478,3.1787366423602887,1.2989609388114332e-14,1.0191500421363742e-16
51,5.6303548848567376e-05,1.6350836872607174e-05,0.0021326673419946682,1.0000008167370924,-0.005291458858646014,-0.010580261347129598,4.115264042411725,1.0547118733938987e-14,2.4692704478357363e-17
52,6.060921353365538e-05,2.216761753242753e-05,0.001463591819422598,1.0000009643221102,-0.011588759216187183,-0.02318032327237576,3.441967444216886,8.659739592076221e-15,2.5261910618912253e-17
53,5.9554686193947197e-05,-1.4400386794899493e-05,0.0013957262839657488,1.000000778234278,0.007409094222800783,0.014810905774759893,2.877010574485087,5.329070518200751e-15,2.319515022761176e-16
54,6.189038201429711e-05,3.505187965927709e-05,0.0016402413197391785,1.0000007111943343,-0.020159000336572253,-0.04030843181984595,3.2815656489608855,5.773159728050814e-15,4.106415728288848e-17
55,6.492080289762613e-05,2.692939035381565e-05,0.002061670797685223,1.0000008057671452,0.006897648377761523,0.013789560820405567,3.446926210387954,1.4654943925052066e-14,7.574507427526855e-17
56,6.210044002193965e-05,-3.10425958350026e-05,0.002327841420072895,1.0000007489318112,0.016119934534810643,0.0322111252442815,5.495634762926576,3.9190872769268026e-14,1.4903578588257305e-15
57,5.6491596909043134e-05,2.0707478889886747e-05,0.0018432242932725136,1.0000010086267068,0.0035999251885449612,0.007215223242984498,4.0854291480073925,6.8833827526759706e-15,7.95939919875921e-17
58,6.790686537078203e-05,-1.9898562085428947e-05,0.0019165345623589852,1.0000009652039232,0.00022293239068998938,0.0004829738589372618,3.989897988576435,2.0761170560490427e-14,8.448645429093293e-17
59,6.345384187918341e-05,3.855887585447039e-05,0.0015766764134788108,1.0000012125255358,-0.006397312136368571,-0.01280122190384169,3.2867857332187773,6.217248937900877e-15,3.7133924407628527e-17
60,6.593346391393856e-05,7.541169896357007e-06,0.0013781205927942742,1.0000008062949248,0.005285526141154184,0.010560137725963334,2.5788015108961453,5.662137425588298e-15,5.0754214199477676e-17
61,5.9226201268827564e-05,-2.5932430505241124e-05,0.00174889086350683,1.0000007900738663,0.01140135457996494,0.022793136625523902,3.546979298428123,6.217248937900877e-15,5.945493663367385e-17
62,6.284983876811334e-05,3.759452307885552e-06,0.0011600150785211517,1.000000763764509,0.0032705613814302814,0.006544323836815573,1.7627147455586467,1.887379141862766e-15,1.8865117801247777e-17
63,5.784840445723301e-05,-5.453701769927592e-05,0.0038432898568561296,1.0000009777598762,0.034626336645941835,0.06916007850126125,9.32022059939399,3.907985046680551e-14,1.5703042165193803e-15
64,5.9101925552880996e-05,5.047220502018765e-07,0.0017960672989838808,1.0000009568293522,0.005769156203281278,0.011536980692474007,3.735442948855197,5.218048215738236e-15,6.770842567171975e-17
